path,ko_current,ja_value,ns
crm.aiHub.catalogSync.productNamePh,商品名を入力してください,商品名を入力してください,crm
crm.aiHub.catalogSync.skuLabel,SKUコード,SKUコード,crm
crm.aiHub.catalogSync.skuPh,SKUコードを入力してください,SKUコードを入力してください,crm
crm.aiHub.catalogSync.specPh,仕様を入力してください,仕様を入力してください,crm
crm.aiHub.catalogSync.unitSelection,販売単位の選択,販売単位の選択,crm
crm.aiHub.catalogSync.boxDetailsTitle,箱の詳細,箱の詳細,crm
crm.aiHub.catalogSync.qtyPerBoxLabel,箱あたりの数量,箱あたりの数量,crm
crm.aiHub.catalogSync.palletDetailsTitle,パレットの詳細,パレットの詳細,crm
crm.aiHub.catalogSync.boxPerPlLabel,パレットあたりの箱数,パレットあたりの箱数,crm
crm.aiHub.catalogSync.registerToChannel,チャネル登録,チャネル登録,crm
crm.aiHub.catalogSync.selectChannelStep,ステップ1: チャネル選択,ステップ1: チャネル選択,crm
crm.aiHub.catalogSync.setPriceStep,ステップ2: 価格設定,ステップ2: 価格設定,crm
crm.aiHub.catalogSync.approveRegisterStep,ステップ3: 最終承認,ステップ3: 最終承認,crm
crm.aiHub.catalogSync.registerToChannelAction,チャネルに登録,チャネルに登録,crm
crm.aiHub.catalogSync.registerToChannelDesc,選択したチャネルに商品を登録します。,選択したチャネルに商品を登録します。,crm
crm.aiHub.catalogSync.unregisterChannelAction,チャネル接続解除,チャネル接続解除,crm
crm.aiHub.catalogSync.unregisterChannelDesc,選択したチャネルから商品を解除します。,選択したチャネルから商品を解除します。,crm
crm.aiHub.catalogSync.channelsSelected,{{n}}チャネル選択済み,{{n}}チャネル選択済み,crm
crm.aiHub.catalogSync.nextSetPriceBtn,次へ: 価格設定,次へ: 価格設定,crm
crm.aiHub.catalogSync.channelPriceRecommendTitle,チャネル別推奨販売価格,チャネル別推奨販売価格,crm
crm.aiHub.catalogSync.channelPriceRecommendDesc,原価、手数料率、税率を考慮した自動計算推奨価格です。,原価、手数料率、税率を考慮した自動計算推奨価格です。,crm
crm.aiHub.catalogSync.channelPriceAdjustDesc,マージン率を調整するか、直接価格を入力できます。,マージン率を調整するか、直接価格を入力できます。,crm
crm.aiHub.catalogSync.nextApproveBtn,次へ: 最終承認,次へ: 最終承認,crm
crm.aiHub.catalogSync.finalReviewTitle,最終レビュー,最終レビュー,crm
crm.aiHub.catalogSync.channelFinalSummary,チャネル別最終サマリー,チャネル別最終サマリー,crm
crm.aiHub.catalogSync.approvalNoteText,上記の内容を確認し、チャネル登録を進めます。,上記の内容を確認し、チャネル登録を進めます。,crm
crm.aiHub.catalogSync.registerDoneMsg,✅ チャネル登録が完了しました！,✅ チャネル登録が完了しました！,crm
crm.aiHub.catalogSync.registerRunMsg,{{n}}商品の登録実行,{{n}}商品の登録実行,crm
crm.aiHub.catalogSync.fixedPriceDesc,すべての商品に同じ価格を設定します。,すべての商品に同じ価格を設定します。,crm
crm.aiHub.catalogSync.markupDesc,現在の価格に対する上乗せ率を適用します。,現在の価格に対する上乗せ率を適用します。,crm
crm.aiHub.catalogSync.discountDesc,現在の価格に対する割引率を適用します。,現在の価格に対する割引率を適用します。,crm
crm.aiHub.catalogSync.fixedPricePh,固定価格を入力,固定価格を入力,crm
crm.aiHub.catalogSync.markupPh,マークアップ率を入力,マークアップ率を入力,crm
crm.aiHub.catalogSync.discountPh,割引率を入力,割引率を入力,crm
crm.aiHub.catalogSync.changePreview,変更プレビュー,変更プレビュー,crm
crm.aiHub.catalogSync.applyChannel,適用チャネル,適用チャネル,crm
crm.aiHub.catalogSync.priceEditDoneMsg,✅ 価格編集が完了しました！,✅ 価格編集が完了しました！,crm
crm.aiHub.catalogSync.priceEditApply,{{n}}商品の価格適用,{{n}}商品の価格適用,crm
crm.aiHub.catalogSync.registerDoneToast,✅ {{n}}商品のチャネル登録完了！,✅ {{n}}商品のチャネル登録完了！,crm
crm.aiHub.catalogSync.disconnectDoneToast,✅ {{n}}商品のチャネル接続解除完了！,✅ {{n}}商品のチャネル接続解除完了！,crm
crm.aiHub.catalogSync.priceEditDoneToast,✅ {{n}}商品の価格編集完了！,✅ {{n}}商品の価格編集完了！,crm
crm.aiHub.catalogSync.csvExportDone,📤 CSVエクスポート完了: {{n}}商品,📤 CSVエクスポート完了: {{n}}商品,crm
crm.aiHub.catalogSync.csvImportEmpty,❌ CSVファイルに有効なデータがありません。,❌ CSVファイルに有効なデータがありません。,crm
crm.aiHub.catalogSync.csvImportDone,📥 CSVインポート完了: {{n}}商品,📥 CSVインポート完了: {{n}}商品,crm
crm.aiHub.catalogSync.csvImportError,❌ CSVファイル処理中にエラーが発生しました。,❌ CSVファイル処理中にエラーが発生しました。,crm
crm.aiHub.catalogSync.excelImportEmpty,❌ Excelファイルに有効なデータがありません。,❌ Excelファイルに有効なデータがありません。,crm
crm.aiHub.catalogSync.excelImportDone,📊 Excelインポート完了: {{n}}商品,📊 Excelインポート完了: {{n}}商品,crm
crm.aiHub.catalogSync.excelImportError,❌ Excelファイル処理中にエラーが発生しました。,❌ Excelファイル処理中にエラーが発生しました。,crm
crm.aiHub.catalogSync.excelExportDone,📊 Excelエクスポート完了: {{n}}商品,📊 Excelエクスポート完了: {{n}}商品,crm
crm.aiHub.catalogSync.templateDownloaded,📋 Excelテンプレートがダウンロードされました。,📋 Excelテンプレートがダウンロードされました。,crm
crm.aiHub.catalogSync.searchPlaceholder,商品名またはSKU検索...,商品名またはSKU検索...,crm
crm.aiHub.catalogSync.excelTemplate,Excelテンプレート,Excelテンプレート,crm
crm.aiHub.catalogSync.excelImport,Excelインポート,Excelインポート,crm
crm.aiHub.catalogSync.bulkRegisterBtn,一括チャネル登録,一括チャネル登録,crm
crm.aiHub.catalogSync.optionColor,カラー,カラー,crm
crm.aiHub.catalogSync.optionSize,サイズ,サイズ,crm
crm.aiHub.catalogSync.channelPrice,チャネル別販売価格,チャネル別販売価格,crm
crm.aiHub.catalogSync.optionsVariants,オプション/バリエーション,オプション/バリエーション,crm
crm.aiHub.catalogSync.totalSkuCombo,合計SKU組み合わせ: {{n}},合計SKU組み合わせ: {{n}},crm
crm.aiHub.catalogSync.reservedStockLabel,予約済み在庫,予約済み在庫,crm
crm.aiHub.catalogSync.syncThisProduct,この商品を同期,この商品を同期,crm
crm.aiHub.catalogSync.scheduleTitle,自動同期スケジュール,自動同期スケジュール,crm
crm.aiHub.catalogSync.fullSync,フル同期,フル同期,crm
crm.aiHub.catalogSync.fullSyncDesc,すべての商品データを最初から完全に同期します。大量データ処理に時間がかかります。,すべての商品データを最初から完全に同期します。大量データ処理に時間がかかります。,crm
crm.aiHub.catalogSync.incrementalSyncDesc,最後の同期以降に変更されたアイテムのみを迅速に同期します。,最後の同期以降に変更されたアイテムのみを迅速に同期します。,crm
crm.aiHub.catalogSync.dryRun,シミュレーション (Dry-Run),シミュレーション (Dry-Run),crm
crm.aiHub.catalogSync.dryRunStartBtn,シミュレーション実行,シミュレーション実行,crm
crm.aiHub.catalogSync.processed,処理済み,処理済み,crm
crm.aiHub.catalogSync.tabPriceRules,価格ルール,価格ルール,crm
crm.aiHub.catalogSync.globalMarkup,グローバルマークアップ(%),グローバルマークアップ(%),crm
crm.aiHub.catalogSync.rounding,丸めルール,丸めルール,crm
crm.aiHub.catalogSync.channelMarkup,チャネル別マークアップ,チャネル別マークアップ,crm
crm.aiHub.catalogSync.commissionAutoApplyDesc,チャネル別手数料と税金はCHANNEL_RATES設定から自動適用されます。手動で修正も可能です。,チャネル別手数料と税金はCHANNEL_RATES設定から自動適用されます。手動で修正も可能です。,crm
crm.aiHub.catalogSync.minMargin,最低マージン(%),最低マージン(%),crm
crm.aiHub.catalogSync.openPricePreview,価格プレビューを開く,価格プレビューを開く,crm
crm.aiHub.catalogSync.previewPrices,価格プレビュー,価格プレビュー,crm
crm.aiHub.catalogSync.marginResult,マージン結果,マージン結果,crm
crm.aiHub.catalogSync.stockThreshold,安全在庫しきい値,安全在庫しきい値,crm
crm.aiHub.catalogSync.lowStockAlertTitle,⚠️ 在庫不足アラート ({{n}}件),⚠️ 在庫不足アラート ({{n}}件),crm
crm.aiHub.catalogSync.currentStock,現在の在庫,現在の在庫,crm
crm.aiHub.catalogSync.afterDistribution,配分後の数量,配分後の数量,crm
crm.aiHub.catalogSync.nearOutOfStockLabel,品切れリスク,品切れリスク,crm
crm.aiHub.catalogSync.jobId,ジョブID,ジョブID,crm
crm.aiHub.catalogSync.noHistory,同期履歴はありません。,同期履歴はありません。,crm
crm.aiHub.catalogSync.catMapSaved,✅ カテゴリマッピングが保存されました。,✅ カテゴリマッピングが保存されました。,crm
crm.aiHub.catalogSync.catMapDesc,内部カテゴリを各販売チャネルのカテゴリ体系にマッピングします。,内部カテゴリを各販売チャネルのカテゴリ体系にマッピングします。,crm
crm.aiHub.catalogSync.internalCategory,内部カテゴリ,内部カテゴリ,crm
crm.aiHub.catalogSync.guideOverviewDesc,カタログ同期は、商品カタログを複数の販売チャネルに自動登録・管理するエンタープライズ級統合ソリューションです。以下の8ステップに従って設定してください。,カタログ同期は、商品カタログを複数の販売チャネルに自動登録・管理するエンタープライズ級統合ソリューションです。以下の8ステップに従って設定してください。,crm
crm.aiHub.catalogSync.guideTips,💡 プロのヒント,💡 プロのヒント,crm
crm.aiHub.catalogSync.tabCatalog,カタログ,カタログ,crm
crm.aiHub.catalogSync.tabStockPolicy,在庫ポリシー,在庫ポリシー,crm
crm.aiHub.catalogSync.heroDesc,商品カタログを複数の販売チャネルに自動登録・管理するエンタープライズ級統合ソリューション,商品カタログを複数の販売チャネルに自動登録・管理するエンタープライズ級統合ソリューション,crm
crm.aiHub.catalogSync.kpiErrorProduct,エラー商品,エラー商品,crm
crm.aiHub.catalogSync.pageSub,商品カタログ統合管理,商品カタログ統合管理,crm
crm.aiHub.catalogSync.noProducts,登録された商品はありません。,登録された商品はありません。,crm
crm.aiHub.catalogSync.betaMode,ベータモード,ベータモード,crm
crm.aiHub.catalogSync.betaModeDesc,実際のチャネルAPI呼び出しなしでシミュレーションされます。有料プランで実際の連携が利用可能です。,実際のチャネルAPI呼び出しなしでシミュレーションされます。有料プランで実際の連携が利用可能です。,crm
crm.aiHub.catalogSync.priceFormulaDesc,推奨販売価格の計算式: 原価 ÷ (1 - 手数料率 - 税率 - 利益率)。黄色の価格は手動入力された価格です。,推奨販売価格の計算式: 原価 ÷ (1 - 手数料率 - 税率 - 利益率)。黄色の価格は手動入力された価格です。,crm
crm.aiHub.catalogSync.alertBulkPriceSync,💰 一括価格編集同期: {{n}}商品 → グローバル価格システム更新完了,💰 一括価格編集同期: {{n}}商品 → グローバル価格システム更新完了,crm
crm.aiHub.catalogSync.alertNewProduct,📂 カタログ新規登録同期: [{{name}}] → グローバル在庫更新完了,📂 カタログ新規登録同期: [{{name}}] → グローバル在庫更新完了,crm
crm.aiHub.catalogSync.alertCsvExport,📤 CSV出力: {{n}}商品エクスポート完了,📤 CSV出力: {{n}}商品エクスポート完了,crm
crm.aiHub.catalogSync.alertCsvImport,📥 CSV入力: {{n}}商品インポート → グローバル在庫同期完了,📥 CSV入力: {{n}}商品インポート → グローバル在庫同期完了,crm
crm.aiHub.catalogSync.alertExcelImport,📊 Excelインポート: {{n}}商品一括登録 → グローバル在庫同期完了,📊 Excelインポート: {{n}}商品一括登録 → グローバル在庫同期完了,crm
crm.aiHub.catalogSync.alertExcelExport,📊 Excelエクスポート: {{n}}商品出力完了,📊 Excelエクスポート: {{n}}商品出力完了,crm
crm.aiHub.catalogSync.alertScheduleSaved,⏰ 同期スケジュール保存: {{freq}} {{time}},⏰ 同期スケジュール保存: {{freq}} {{time}},crm
crm.aiHub.catalogSync.cat_electronics_audio,電子機器 > オーディオ,電子機器 > オーディオ,crm
crm.aiHub.catalogSync.cat_electronics_input,電子機器 > 入力デバイス,電子機器 > 入力デバイス,crm
crm.aiHub.catalogSync.cat_electronics_camera,電子機器 > カメラ,電子機器 > カメラ,crm
crm.aiHub.catalogSync.cat_fashion_clothing,ファッション > 衣類,ファッション > 衣類,crm
crm.aiHub.catalogSync.cat_fashion_accessories,ファッション > アクセサリー,ファッション > アクセサリー,crm
crm.aiHub.catalogSync.cat_beauty_skincare,ビューティー > スキンケア,ビューティー > スキンケア,crm
crm.aiHub.catalogSync.cat_beauty_makeup,ビューティー > メイクアップ,ビューティー > メイクアップ,crm
crm.aiHub.catalogSync.cat_living_kitchen,リビング > キッチン,リビング > キッチン,crm
crm.aiHub.catalogSync.cat_sports_equipment,スポーツ > 用品,スポーツ > 用品,crm
crm.aiHub.catalogSync.cat_toys_hobbies,おもちゃ & ホビー,おもちゃ & ホビー,crm
crm.aiHub.catalogSync.reserveDesc,チャネルごとの予約数量を設定します。,チャネルごとの予約数量を設定します。,crm
crm.aiHub.catalogSync.thresholdDesc,在庫がこの閾値以下になるとアラートが送信されます。,在庫がこの閾値以下になるとアラートが送信されます。,crm
crm.aiHub.catalogSync.addCustomCategory,カテゴリ追加,カテゴリ追加,crm
crm.aiHub.catalogSync.addCategoryPh,新カテゴリID（例: digital/tablet）,新カテゴリID（例: digital/tablet）,crm
crm.aiHub.catalogSync.addCategoryLabelPh,表示名（例: デジタル > タブレット）,表示名（例: デジタル > タブレット）,crm
crm.aiHub.catalogSync.categoryAdded,✅ カテゴリが追加されました。,✅ カテゴリが追加されました。,crm
crm.aiHub.catalogSync.categoryDeleted,🗑️ カテゴリが削除されました。,🗑️ カテゴリが削除されました。,crm
crm.aiHub.catalogSync.securityBannerTitle,🛡️ セキュリティ脅威検出,🛡️ セキュリティ脅威検出,crm
crm.aiHub.catalogSync.securityBannerMsg,{{type}}攻撃がブロックされました。（累計{{count}}回）,{{type}}攻撃がブロックされました。（累計{{count}}回）,crm
crm.aiHub.catalogSync.crossSyncToast,✅ 商品データが価格最適化と同期されました。,✅ 商品データが価格最適化と同期されました。,crm
crm.aiHub.catalogSync.reportBuilder.pageDesc,エンタープライズグレード ドラッグ&ドロップ ダッシュボードスタジオ,エンタープライズグレード ドラッグ&ドロップ ダッシュボードスタジオ,crm
crm.aiHub.catalogSync.reportBuilder.tabCanvas,レポートキャンバス,レポートキャンバス,crm
crm.aiHub.catalogSync.reportBuilder.widgetLibrary,ウィジェットライブラリ,ウィジェットライブラリ,crm
crm.aiHub.catalogSync.reportBuilder.dragDesc,ウィジェットをキャンバスにドラッグしてください,ウィジェットをキャンバスにドラッグしてください,crm
crm.aiHub.catalogSync.reportBuilder.widgetRoasTrend,ROASトレンド,ROASトレンド,crm
crm.aiHub.catalogSync.reportBuilder.widgetDailyClicks,日別クリック数,日別クリック数,crm
crm.aiHub.catalogSync.reportBuilder.widgetKpiSummary,KPIサマリー,KPIサマリー,crm
crm.aiHub.catalogSync.reportBuilder.widgetRevenueTrend,売上トレンド,売上トレンド,crm
crm.aiHub.catalogSync.reportBuilder.widgetChannelPie,チャネル構成比,チャネル構成比,crm
crm.aiHub.catalogSync.reportBuilder.dropHere,ここにドロップ,ここにドロップ,crm
crm.aiHub.catalogSync.reportBuilder.dropHereDesc,左のウィジェットライブラリからドラッグしてください,左のウィジェットライブラリからドラッグしてください,crm
crm.aiHub.catalogSync.reportBuilder.saveLayout,レイアウト保存,レイアウト保存,crm
crm.aiHub.catalogSync.reportBuilder.layoutNamePh,レイアウト名を入力,レイアウト名を入力,crm
crm.aiHub.catalogSync.reportBuilder.widgetsCount,個のウィジェット,個のウィジェット,crm
crm.aiHub.catalogSync.reportBuilder.securityDesc,悪意のある入力が検出されブロックされました。,悪意のある入力が検出されブロックされました。,crm
crm.aiHub.catalogSync.reportBuilder.channelFilter,チャネルフィルター,チャネルフィルター,crm
crm.aiHub.catalogSync.reportBuilder.widgetSize,ウィジェットサイズ,ウィジェットサイズ,crm
crm.aiHub.catalogSync.reportBuilder.tplTitle,レポートテンプレート,レポートテンプレート,crm
crm.aiHub.catalogSync.reportBuilder.tplSubtitle,よく使うレポートパターンを素早く適用できます,よく使うレポートパターンを素早く適用できます,crm
crm.aiHub.catalogSync.reportBuilder.tplPerformance,パフォーマンスレポート,パフォーマンスレポート,crm
crm.aiHub.catalogSync.reportBuilder.tplPerformanceDesc,ROAS、クリック、コンバージョンなどの主要指標を一覧で確認します。,ROAS、クリック、コンバージョンなどの主要指標を一覧で確認します。,crm
crm.aiHub.catalogSync.reportBuilder.tplRevenue,売上レポート,売上レポート,crm
crm.aiHub.catalogSync.reportBuilder.tplRevenueDesc,売上トレンド、広告費、チャネル構成比を分析します。,売上トレンド、広告費、チャネル構成比を分析します。,crm
crm.aiHub.catalogSync.reportBuilder.tplChannel,チャネルレポート,チャネルレポート,crm
crm.aiHub.catalogSync.reportBuilder.tplChannelDesc,チャネル別のパフォーマンス、手数料、ROASを比較分析します。,チャネル別のパフォーマンス、手数料、ROASを比較分析します。,crm
crm.aiHub.catalogSync.reportBuilder.tplExecutive,経営レポート,経営レポート,crm
crm.aiHub.catalogSync.reportBuilder.tplExecutiveDesc,経営陣向けの主要KPIサマリーダッシュボードです。,経営陣向けの主要KPIサマリーダッシュボードです。,crm
crm.aiHub.catalogSync.reportBuilder.tplWidgetCount,ウィジェット数,ウィジェット数,crm
crm.aiHub.catalogSync.reportBuilder.schedTitle,スケジュールレポート,スケジュールレポート,crm
crm.aiHub.catalogSync.reportBuilder.schedNew,+ 新規スケジュール,+ 新規スケジュール,crm
crm.aiHub.catalogSync.reportBuilder.schedName,レポート名,レポート名,crm
crm.aiHub.catalogSync.reportBuilder.schedEmail,受信メール,受信メール,crm
crm.aiHub.catalogSync.reportBuilder.schedCreate,スケジュール作成,スケジュール作成,crm
crm.aiHub.catalogSync.reportBuilder.schedEmpty,スケジュールされたレポートがありません。,スケジュールされたレポートがありません。,crm
crm.aiHub.catalogSync.reportBuilder.savedEmpty,保存済みレイアウトがありません。,保存済みレイアウトがありません。,crm
crm.aiHub.catalogSync.reportBuilder.guideWidgetsTitle,ウィジェットリファレンス,ウィジェットリファレンス,crm
crm.aiHub.catalogSync.reportBuilder.guideWidgetRoas,期間別ROASの推移をエリアチャートで可視化します。,期間別ROASの推移をエリアチャートで可視化します。,crm
crm.aiHub.catalogSync.reportBuilder.guideWidgetClicks,日別クリック数をバーチャートで表示します。,日別クリック数をバーチャートで表示します。,crm
crm.aiHub.catalogSync.reportBuilder.guideWidgetSpend,広告費の推移をエリアチャートで分析します。,広告費の推移をエリアチャートで分析します。,crm
crm.aiHub.catalogSync.reportBuilder.guideWidgetKpi,売上、ROAS、注文、CVRの4大指標を要約します。,売上、ROAS、注文、CVRの4大指標を要約します。,crm
crm.aiHub.catalogSync.reportBuilder.guideWidgetConv,コンバージョンデータをバーチャートで可視化します。,コンバージョンデータをバーチャートで可視化します。,crm
crm.aiHub.catalogSync.reportBuilder.guideWidgetRevenue,売上トレンドをエリアチャートで追跡します。,売上トレンドをエリアチャートで追跡します。,crm
crm.aiHub.catalogSync.reportBuilder.guideWidgetPie,チャネル別売上比率をパイチャートで表示します。,チャネル別売上比率をパイチャートで表示します。,crm
crm.aiHub.catalogSync.reportBuilder.guideWidgetFee,チャネル別手数料率を比較します。,チャネル別手数料率を比較します。,crm
crm.aiHub.catalogSync.settlements.pageDesc,チャネル別売上・手数料・精算金を統合管理・分析します。,チャネル別売上・手数料・精算金を統合管理・分析します。,crm
crm.aiHub.catalogSync.settlements.colNetKRW,韓国ウォン換算,韓国ウォン換算,crm
crm.aiHub.catalogSync.settlements.csvSuccess,CSVがダウンロードされました。,CSVがダウンロードされました。,crm
crm.aiHub.catalogSync.settlements.importSuccess,精算データをインポートしました。,精算データをインポートしました。,crm
crm.aiHub.catalogSync.settlements.importMock,デモ: 連動ハブでAPIを接続してください。,デモ: 連動ハブでAPIを接続してください。,crm
crm.aiHub.catalogSync.settlements.searchPlaceholder,チャネル/ID検索...,チャネル/ID検索...,crm
crm.aiHub.catalogSync.settlements.channelNetTitle,チャネル別純精算金,チャネル別純精算金,crm
crm.aiHub.catalogSync.settlements.kpiPendingWarn,未確定あり,未確定あり,crm
crm.aiHub.catalogSync.settlements.kpiAllDone,全て確定,全て確定,crm
crm.aiHub.catalogSync.settlements.krvConversion,韓国ウォン換算,韓国ウォン換算,crm
crm.aiHub.catalogSync.settlements.detailCsvBtn,この精算CSVダウンロード,この精算CSVダウンロード,crm
crm.aiHub.catalogSync.settlements.guideRoleFee,手数料はプラットフォーム、広告、決済、返金に分類されます。,手数料はプラットフォーム、広告、決済、返金に分類されます。,crm
crm.aiHub.catalogSync.settlements.guideRoleSync,連動ハブでAPI登録されたチャネルは自動追加されます。,連動ハブでAPI登録されたチャネルは自動追加されます。,crm
crm.aiHub.catalogSync.recon.pageDesc,チャネル精算データをアップロードし手数料ルールと自動照合します。,チャネル精算データをアップロードし手数料ルールと自動照合します。,crm
crm.aiHub.catalogSync.recon.tabUpload,データアップロード,データアップロード,crm
crm.aiHub.catalogSync.recon.tabTickets,チケット対応,チケット対応,crm
crm.aiHub.catalogSync.recon.uploadDesc,チャネルの精算データをJSON配列で貼り付けてください。,チャネルの精算データをJSON配列で貼り付けてください。,crm
crm.aiHub.catalogSync.recon.uploadHint,JSON配列形式で入力してください。,JSON配列形式で入力してください。,crm
crm.aiHub.catalogSync.recon.uploadFailed,アップロード失敗,アップロード失敗,crm
crm.aiHub.catalogSync.recon.uploadSuccess,アップロード完了,アップロード完了,crm
crm.aiHub.catalogSync.recon.jsonError,JSON形式エラーです。,JSON形式エラーです。,crm
crm.aiHub.catalogSync.recon.notArray,配列形式ではありません。,配列形式ではありません。,crm
crm.aiHub.catalogSync.recon.reconDesc,アップロードされたデータと手数料ルールを比較し差異を自動計算します。,アップロードされたデータと手数料ルールを比較し差異を自動計算します。,crm
crm.aiHub.catalogSync.recon.ticketsCreated,作成チケット,作成チケット,crm
crm.aiHub.catalogSync.recon.ticketCount,チケット数,チケット数,crm
crm.aiHub.catalogSync.recon.noReports,照合レポートがまだありません。まずデータをアップロードして照合を実行してください。,照合レポートがまだありません。まずデータをアップロードして照合を実行してください。,crm
crm.aiHub.catalogSync.recon.selectReport,レポートを選択してください,レポートを選択してください,crm
crm.aiHub.catalogSync.recon.reportDetail,レポート詳細,レポート詳細,crm
crm.aiHub.catalogSync.recon.mismatchTickets,不一致チケット,不一致チケット,crm
crm.aiHub.catalogSync.recon.noTickets,該当ステータスのチケットがありません。,該当ステータスのチケットがありません。,crm
crm.aiHub.catalogSync.recon.platformFeeRate,プラットフォーム手数料率,プラットフォーム手数料率,crm
crm.aiHub.catalogSync.recon.notePlaceholder,メモ入力,メモ入力,crm
crm.aiHub.catalogSync.recon.saved,保存されました,保存されました,crm
crm.aiHub.catalogSync.recon.ruleHistory,登録ルール履歴,登録ルール履歴,crm
crm.aiHub.catalogSync.recon.viewPnl,P&Lダッシュボード確認 →,P&Lダッシュボード確認 →,crm
crm.aiHub.catalogSync.recon.auction,オークション,オークション,crm
crm.aiHub.catalogSync.recon.secLockDesc,異常アクセスが検出されました。一時ロック。,異常アクセスが検出されました。一時ロック。,crm
crm.aiHub.catalogSync.recon.guideRoleUpload,チャネル別精算データをJSON形式でアップロードします。,チャネル別精算データをJSON形式でアップロードします。,crm
crm.aiHub.catalogSync.recon.guideRoleRecon,データと手数料ルールを自動照合し差異を計算・不一致チケットを作成します。,データと手数料ルールを自動照合し差異を計算・不一致チケットを作成します。,crm
crm.aiHub.catalogSync.recon.guideRoleTicket,不一致チケットのステータスを管理します（未処理→調査中→解決/免除）。,不一致チケットのステータスを管理します（未処理→調査中→解決/免除）。,crm
crm.aiHub.catalogSync.root_pageTitle_influencer,インフルエンサー & UGC,インフルエンサー & UGC,crm
crm.aiHub.journey.pageSub,メール・カカオ・LINE・SMS・WhatsApp マルチチャネル自動化 · A/Bテスト · リアルタイム連携,メール・カカオ・LINE・SMS・WhatsApp マルチチャネル自動化 · A/Bテスト · リアルタイム連携,crm
crm.aiHub.journey.myJourneys,マイジャーニー,マイジャーニー,crm
crm.aiHub.journey.newJourney,+ 新規ジャーニー,+ 新規ジャーニー,crm
crm.aiHub.journey.journeyNamePh,例：新規顧客ウェルカムジャーニー,例：新規顧客ウェルカムジャーニー,crm
crm.aiHub.journey.noJourneys,ジャーニーがありません。新しいジャーニーを作成しましょう！,ジャーニーがありません。新しいジャーニーを作成しましょう！,crm
crm.aiHub.journey.confirmDelete,このジャーニーを削除しますか？,このジャーニーを削除しますか？,crm
crm.aiHub.journey.backToList,← 一覧に戻る,← 一覧に戻る,crm
crm.aiHub.journey.nodeSettings,ノード設定,ノード設定,crm
crm.aiHub.journey.clickToEdit,ノードをクリックして編集,ノードをクリックして編集,crm
crm.aiHub.journey.nodeName,ノード名,ノード名,crm
crm.aiHub.journey.selectSegment,セグメントを選択,セグメントを選択,crm
crm.aiHub.journey.emailSubject,メール件名,メール件名,crm
crm.aiHub.journey.emailSubjectPh,件名を入力,件名を入力,crm
crm.aiHub.journey.emailSenderPh,送信者名を入力,送信者名を入力,crm
crm.aiHub.journey.kakaoAlimtalk,アリムトーク,アリムトーク,crm
crm.aiHub.journey.kakaoFriendtalk,フレンドトーク,フレンドトーク,crm
crm.aiHub.journey.lineMsgText,テキスト,テキスト,crm
crm.aiHub.journey.lineMsgFlex,Flexメッセージ,Flexメッセージ,crm
crm.aiHub.journey.waLang,言語コード,言語コード,crm
crm.aiHub.journey.igMessage,DMメッセージ,DMメッセージ,crm
crm.aiHub.journey.igMessagePh,Instagram DMメッセージを入力,Instagram DMメッセージを入力,crm
crm.aiHub.journey.smsMessage,SMSメッセージ,SMSメッセージ,crm
crm.aiHub.journey.smsMessagePh,SMSメッセージを入力,SMSメッセージを入力,crm
crm.aiHub.journey.webhookMethod,HTTPメソッド,HTTPメソッド,crm
crm.aiHub.journey.pushTitle,プッシュ通知タイトル,プッシュ通知タイトル,crm
crm.aiHub.journey.pushBody,プッシュ通知内容,プッシュ通知内容,crm
crm.aiHub.journey.popupTemplate,ポップアップテンプレート,ポップアップテンプレート,crm
crm.aiHub.journey.popupTemplatePh,テンプレートIDを入力,テンプレートIDを入力,crm
crm.aiHub.journey.conditionField,条件フィールド,条件フィールド,crm
crm.aiHub.journey.conditionEmailClicked,メールクリック,メールクリック,crm
crm.aiHub.journey.conditionEmailOpened,メール開封,メール開封,crm
crm.aiHub.journey.conditionKakaoClicked,カカオクリック,カカオクリック,crm
crm.aiHub.journey.conditionLineClicked,LINEクリック,LINEクリック,crm
crm.aiHub.journey.conditionPageVisited,ページ訪問,ページ訪問,crm
crm.aiHub.journey.conditionCartValueGt,カート金額以上,カート金額以上,crm
crm.aiHub.journey.abGroupA,Aグループ比率 (%),Aグループ比率 (%),crm
crm.aiHub.journey.abGroupB,Bグループ,Bグループ,crm
crm.aiHub.journey.deleteNode,ノードを削除,ノードを削除,crm
crm.aiHub.journey.channelNotConnected,連携ハブでチャネルを接続してください,連携ハブでチャネルを接続してください,crm
crm.aiHub.journey.connectedChannels,接続済みチャネル,接続済みチャネル,crm
crm.aiHub.journey.recentTriggers,最近のトリガー,最近のトリガー,crm
crm.aiHub.journey.emailSendSim,メール送信シミュレーション: {{count}}名,メール送信シミュレーション: {{count}}名,crm
crm.aiHub.journey.kakaoSendSim,カカオ送信シミュレーション: {{count}}名,カカオ送信シミュレーション: {{count}}名,crm
crm.aiHub.journey.lineSendSim,LINE送信シミュレーション: {{count}}名,LINE送信シミュレーション: {{count}}名,crm
crm.aiHub.journey.analyticsActive,現在アクティブ,現在アクティブ,crm
crm.aiHub.journey.noAnalyticsData,分析データがありません,分析データがありません,crm
crm.aiHub.journey.journeyPerformance,ジャーニー別パフォーマンス,ジャーニー別パフォーマンス,crm
crm.aiHub.journey.triggerTypes.churned,離脱リスク,離脱リスク,crm
