ruleEnginePage.heroDescI18n	"すべてのチャネルの注文をリアルタイムで収集・管理・分析します。"
gAttr.tabCohortDesc	"週間購入パターン"
gAttr.tabAnomalyDesc	"Z-score リアルタイム"
gAttr.tabCompareLabel	"🕸️ モデル比較"
gAttr.tabCompareDesc	"レーダー + Aスコア"
gAttr.firstTouch	"ファーストタッチ"
gAttr.lastTouch	"ラストタッチ"
gAttr.position	"接点ベース(Position)"
gAttr.channelContrib	"📊 チャネル貢献度"
gAttr.topPaths	"🗺️ トップ6コンバージョン経路"
gAttr.analysisJourney	"分析ジャーニー"
gAttr.timeSeries	"52週時系列データ"
dataTrust.ModeBadge	"🎭 デモシミュレーションモード"
dataTrust.ModeTitle	"デモモード · サンプルデータのみ"
dataTrust.ModeDesc	"ライブアカウントを接続して実データを表示"
developerHub.ModeBadge	"🎭 デモシミュレーションモード"
attribution.modelCompare	"🕸️ モデル比較"
attribution.aScore	"Aスコア (アトリビューション信頼度)"
attribution.zScore	"Zスコア"
attribution.anomalyDesc	"Zスコアを用いたリアルタイムチャネルパフォーマンス監視"
attribution.modelCompareDesc	"レーダーチャートで5つのアトリビューションモデルを比較"
crm.email.catalogSync.heroDesc	"API キーを登録し接続状態を管理します。"
crm.email.catalogSync.tabHistory	"📋 アラート履歴"
crm.email.catalogSync.statusError	"エラー"
crm.email.catalogSync.colStatus	"ステータス"
crm.email.catalogSync.cancel	"キャンセル"
crm.email.catalogSync.boxDetailsTitle	"📦 ボックス単位詳細"
crm.email.catalogSync.qtyPerBoxLabel	"1ボックスあたり数量 (ea) *"
crm.email.catalogSync.palletDetailsTitle	"📦📦 パレット(PL)単位詳細"
crm.email.catalogSync.boxPerPlLabel	"1PLあたりボックス数 *"
crm.email.catalogSync.selectChannelStep	"チャネル選択"
crm.email.catalogSync.registerToChannelAction	"✅ チャネル登録"
crm.email.catalogSync.registerToChannelDesc	"選択したチャネルで販売を登録/有効化"
crm.email.catalogSync.unregisterChannelAction	"⛔ チャネル解除"
crm.email.catalogSync.unregisterChannelDesc	"選択したチャネルで商品を無効化"
crm.email.catalogSync.cancelBtn	"キャンセル"
crm.email.catalogSync.nextSetPriceBtn	"次へ: 価格設定 →"
crm.email.catalogSync.productsUnregister	"{{n}}件の商品を解除"
crm.email.catalogSync.channelPriceRecommendTitle	"💰 チャネル別推奨販売価格設定"
crm.email.catalogSync.channelPriceRecommendDesc	"原価(仕入原価+入出庫費+保管料+作業費+送料)にチャネル手数料・税金・利益率を反映した推奨価格です。"
crm.email.catalogSync.channelPriceAdjustDesc	"マージン(%)を調整するとリアルタイムで再計算されます。直接入力で上書きも可能です。"
crm.email.catalogSync.actualMarginLabel	"実質マージン"
crm.email.catalogSync.manualPriceNoteDesc	"· 黄色表示は手動入力された価格です。"
crm.email.catalogSync.backBtn	"← 戻る"
crm.email.catalogSync.nextApproveBtn	"次へ: 承認 & 登録 →"
crm.email.catalogSync.finalReviewTitle	"✅ 最終レビュー & 管理者承認"
crm.email.catalogSync.channelFinalSummary	"📋 チャネル別最終販売価格サマリー"
crm.email.catalogSync.managerApprovalText	"✍️ 管理者承認: 上記価格で{{chCount}}チャネルに{{prodCount}}商品を登録"
crm.email.catalogSync.approvalNoteText	"承認後、全チャネルまたは選択チャネルに販売登録が進行されます。"
crm.email.catalogSync.registerDoneMsg	"✅ {{prodCount}}商品 · {{chCount}}チャネル 登録完了！"
crm.email.catalogSync.registerRunMsg	"🚀 {{prodCount}}商品 · {{chCount}}チャネル 登録実行"
crm.email.catalogSync.marginPctCol	"マージン%"
crm.email.catalogSync.fixedPriceDesc	"新しい価格を直接入力"
crm.email.catalogSync.markupLabel	"マークアップ(%)"
crm.email.catalogSync.markupDesc	"現在価格に%を上乗せ"
crm.email.catalogSync.discountDesc	"現在価格から%割引"
crm.email.catalogSync.fixedPricePh	"新しい販売価格を入力"
crm.email.catalogSync.markupPh	"上乗せ率 (例: 10)"
crm.email.catalogSync.changePreview	"📊 変更プレビュー"
crm.email.catalogSync.applyChannel	"📡 適用チャネル"
crm.email.catalogSync.roundingNone	"なし"
crm.email.catalogSync.closePreview	"プレビューを閉じる"
crm.email.catalogSync.openPricePreview	"💰 価格プレビュー"
crm.email.catalogSync.nearOutOfStockLabel	"品切れ間近"
crm.email.catalogSync.tabCategoryMapping	"カテゴリマッピング"
crm.email.catalogSync.catMapTitle	"🗂️ カテゴリマッピング"
crm.email.catalogSync.catMapDesc	"社内カテゴリを各チャネルのカテゴリにマッピングします。"
crm.email.catalogSync.internalCategory	"社内カテゴリ"
crm.email.catalogSync.channelCategory	"チャネルカテゴリ"
crm.email.catalogSync.mappingStatus	"マッピング状況"
crm.email.catalogSync.mapped	"マッピング済み"
crm.email.catalogSync.unmapped	"未マッピング"
crm.email.catalogSync.addMapping	"マッピング追加"
crm.email.catalogSync.editMapping	"マッピング編集"
crm.email.catalogSync.deleteMapping	"マッピング削除"
crm.email.catalogSync.autoMapSuggest	"自動マッピング提案"
crm.email.catalogSync.catMapSaved	"カテゴリマッピングが保存されました。"
crm.email.catalogSync.scheduleTitle	"⏰ 同期スケジュール"
crm.email.catalogSync.scheduleDesc	"自動同期の間隔を設定します。"
crm.email.catalogSync.scheduleEnabled	"自動スケジュール有効化"
crm.email.catalogSync.every30min	"30分ごと"
crm.email.catalogSync.every1hour	"1時間ごと"
crm.email.catalogSync.every6hours	"6時間ごと"
crm.email.catalogSync.scheduleSaved	"スケジュールが保存されました。"
crm.email.catalogSync.importExport	"📥 インポート/エクスポート"
crm.email.catalogSync.importCsv	"CSVインポート"
crm.email.catalogSync.exportCsv	"CSVエクスポート"
crm.email.catalogSync.exportExcel	"Excelエクスポート"
crm.email.catalogSync.importDesc	"CSV/Excelファイルで商品を一括登録します。"
crm.email.catalogSync.exportDesc	"現在の商品リストをエクスポートします。"
crm.email.catalogSync.downloadTemplate	"テンプレートダウンロード"
crm.email.catalogSync.importSuccess	"{{n}}件の商品を正常にインポートしました。"
crm.email.catalogSync.importError	"インポート中にエラーが発生しました。"
crm.email.catalogSync.guideOverviewDesc	"カタログ同期は、複数の販売チャネルに商品を一括登録・管理し、価格・在庫をリアルタイム同期するモジュールです。"
crm.email.catalogSync.schedSaveBtn	"スケジュール保存"
crm.email.catalogSync.templateDownloaded	"一括登録テンプレートをダウンロードしました"
crm.email.catalogSync.excelExportDone	"{{n}}件の商品をExcelにエクスポートしました"
crm.email.catalogSync.excelImportError	"Excelファイル解析エラー"
crm.email.catalogSync.excelImportEmpty	"Excelファイルにデータがありません"
crm.email.catalogSync.excelImportDone	"{{n}}件の商品をExcelから一括登録しました"
crm.email.catalogSync.excelTemplate	"テンプレートDL"
crm.email.catalogSync.excelExport	"Excelエクスポート"
crm.email.catalogSync.commissionAutoApplyDesc	"チャネル別の販売手数料率と税金はCHANNEL_RATESポリシーから自動適用されます。手動での変更も可能です。"
crm.email.catalogSync.schedFreq12h	"12時間ごと"
crm.email.catalogSync.schedFreq6h	"6時間ごと"
crm.email.catalogSync.schedFreq1h	"1時間ごと"
crm.email.catalogSync.schedFreq30m	"30分ごと"
crm.email.catalogSync.csvImportError	"CSVファイル解析エラー"
crm.email.catalogSync.csvImportEmpty	"CSVファイルにデータがありません"
crm.email.catalogSync.csvImportDone	"{{n}}件の商品をCSVからインポートしました"
crm.email.catalogSync.csvExportDone	"{{n}}件の商品をCSVにエクスポートしました"
crm.email.catalogSync.csvImport	"CSVインポート"
crm.email.catalogSync.csvExport	"CSVエクスポート"
crm.email.catalogSync.guideTips	"💡 ヒント"
crm.email.alertAuto.heroDesc	"API キーを登録し接続状態を管理します。"
crm.email.alertAuto.tabRules	"🔔 アラートルール"
crm.email.alertAuto.tabRulesDesc	"自動化ルール管理"
crm.email.alertAuto.tabHistory	"📋 アラート履歴"
crm.email.alertAuto.tabHistoryDesc	"リアルタイムログ"
crm.email.alertAuto.tabSettingsDesc	"ライトバック設定"
crm.email.alertAuto.totalRules	"ルール合計"
crm.email.alertAuto.rulesTitle	"🔔 自動化アラートルール"
crm.email.alertAuto.addRule	"ルール追加"
crm.email.alertAuto.cancel	"キャンセル"
crm.email.alertAuto.ruleName	"ルール名"
crm.email.alertAuto.channel	"チャネル"
crm.email.alertAuto.saveRule	"ルール保存"
crm.email.alertAuto.ruleCreated	"作成済み"
crm.email.alertAuto.ruleDeleted	"削除済み"
crm.email.alertAuto.noRules	"ルールなし"
crm.email.alertAuto.noRulesDesc	"ルールを作成してください"
crm.email.alertAuto.errorAlerts	"エラー"
crm.email.alertAuto.noAlerts	"履歴なし"
crm.email.alertAuto.noAlertsDesc	"アラートが表示されます"
crm.email.alertAuto.channelConfig	"📡 通知チャンネル設定"
crm.email.alertAuto.connected	"接続済み"
crm.email.alertAuto.scheduleConfig	"⏰ スケジュール"
crm.email.alertAuto.cooldown	"クールダウン"
crm.email.alertAuto.badgeRealtime	"リアルタイム同期"
crm.email.alertAuto.badgeSecurity	"セキュリティ有効"
crm.email.alertAuto.demoBanner	"🎭 デモモード"
crm.email.alertAuto.demoBannerDesc	"読み取り専用。"
crm.email.alertAuto.upgradeBtn	"💎 Proアップグレード"
crm.email.alertAuto.secTitle	"セキュリティ脅威検出"
crm.email.alertAuto.secDesc	"不審なアクティビティ検出"
crm.email.alertAuto.secCode	"ロック解除コード入力"
crm.email.alertAuto.secUnlock	"ロック解除"
crm.email.alertAuto.recentFires	"最近の発動"
crm.email.alertAuto.liveSyncStatus	"リアルタイムデータ同期状態"
crm.email.alertAuto.syncActiveRules	"AIルール"
crm.email.alertAuto.markAllRead	"全て既読"
crm.email.alertAuto.noFired	"発動履歴なし"
crm.email.alertAuto.noFiredDesc	"AIルールエンジンの発動ログがここに表示されます"
crm.email.alertAuto.colRule	"ルール"
crm.email.alertAuto.colAction	"アクション"
crm.email.alertAuto.tabFired	"⚡ ルール発動"
crm.email.alertAuto.tabFiredDesc	"実行ログ"
crm.email.alertAuto.crossTabSync	"別タブからスキーマ同期"
crm.email.alertAuto.crossTabFire	"別タブで発動"
crm.email.alertAuto.badgeRulesSync	"ルール同期"
crm.email.aiPolicy.heroDesc	"API キーを登録し接続状態を管理します。"
crm.email.aiPolicy.tabPolicies	"🛡️ ポリシー"
crm.email.aiPolicy.tabPoliciesDesc	"ガードレール管理"
crm.email.aiPolicy.tabGovernance	"📋 ガバナンス"
crm.email.aiPolicy.tabGovernanceDesc	"監査ログ"
crm.email.aiPolicy.tabConfigDesc	"AIガードレール設定"
crm.email.aiPolicy.totalPolicies	"ポリシー合計"
crm.email.aiPolicy.policiesTitle	"🛡️ AIガードレールポリシー"
crm.email.aiPolicy.addPolicy	"ポリシー追加"
crm.email.aiPolicy.cancel	"キャンセル"
crm.email.aiPolicy.policyName	"ポリシー名"
crm.email.aiPolicy.policyNamePh	"例: ROAS下限ポリシー"
crm.email.aiPolicy.dimCampaign	"キャンペーン"
crm.email.aiPolicy.dimCreator	"クリエイター"
crm.email.aiPolicy.dimPlatform	"プラットフォーム"
crm.email.aiPolicy.metric	"メトリクス"
crm.email.aiPolicy.savePolicy	"ポリシー保存"
crm.email.aiPolicy.policyCreated	"ポリシー作成済み"
crm.email.aiPolicy.noPolicies	"ポリシーなし"
crm.email.aiPolicy.noPoliciesDesc	"ポリシーを作成してください"
crm.email.aiPolicy.policyFired	"ポリシーイベント"
crm.email.aiPolicy.secEvents	"セキュリティイベント"
crm.email.aiPolicy.noGovernance	"ガバナンスログなし"
crm.email.aiPolicy.noGovernanceDesc	"ポリシー適用ログがここに表示されます"
crm.email.aiPolicy.configTitle	"⚙ AIガードレール設定"
crm.email.aiPolicy.cfgBudgetDesc	"AIの日次予算超過支出を防止"
crm.email.aiPolicy.cfgRoasDesc	"最低閾値未満のROASキャンペーンをブロック"
crm.email.aiPolicy.cfgBidDesc	"AIが設定可能な最大CPC/CPM"
crm.email.aiPolicy.cfgFreqCap	"フリークエンシーキャップ"
crm.email.aiPolicy.cfgFreqDesc	"ユーザーあたりの広告表示回数を制限"
crm.email.aiPolicy.cfgCreativeFilter	"クリエイティブ安全"
crm.email.aiPolicy.cfgCreativeDesc	"未承認クリエイティブの自動配信をブロック"
crm.email.aiPolicy.cfgApprovalGate	"承認ゲート"
crm.email.aiPolicy.cfgApprovalDesc	"閾値超のAI変更に事前承認を要求"
crm.email.aiPolicy.badgePolicies	"ポリシー"
crm.email.aiPolicy.badgeRules	"ルール同期"
crm.email.aiPolicy.badgeRealtime	"リアルタイム同期"
crm.email.aiPolicy.badgeSecurity	"セキュリティ有効"
crm.email.aiPolicy.demoBanner	"🎭 デモモード"
crm.email.aiPolicy.demoBannerDesc	"読み取り専用。"
crm.email.aiPolicy.upgradeBtn	"💎 Proアップグレード"
crm.email.aiPolicy.crossTabSync	"別タブからスキーマ同期"
crm.email.aiPolicy.secTitle	"セキュリティ脅威検出"
crm.email.aiPolicy.secDesc	"不審なアクティビティ検出"
crm.email.aiPolicy.secCode	"ロック解除コード入力"
crm.email.aiPolicy.secUnlock	"ロック解除"
crm.email.aiPolicy.syncActiveRules	"AIルール"
crm.email.aiPolicy.liveSyncStatus	"リアルタイムデータ同期状態"
crm.email.aiPolicy.crossTabConfig	"別タブから設定変更"
crm.email.conn.heroDesc	"API キーを登録し接続状態を管理します。"
crm.email.conn.secTitle	"セキュリティ脅威検出"
crm.email.conn.secCode	"ロック解除コード入力"
crm.email.conn.secUnlock	"ロック解除"
crm.email.conn.kpiTotal	"全チャネル"
crm.email.conn.kpiConnected	"接続済み"
crm.email.conn.connected	"接続済み"
crm.email.conn.badgeRealSync	"リアルタイム同期"
crm.email.conn.badgeSecurity	"セキュリティ有効"
crm.email.conn.tabPlatforms	"📡 プラットフォーム"
crm.email.conn.tabDW	"データウェアハウス"
crm.email.conn.filterAll	"すべて"
crm.email.conn.noPlatforms	"接続済みプラットフォームなし"
crm.email.conn.noPlatformsDesc	"APIキーまたはOAuthで広告・コマース・CRMプラットフォームを接続してください。"
crm.email.conn.eventFeed	"イベントフィード"
crm.email.conn.eventFeedSub	"リアルタイム"
crm.email.conn.noEvents	"受信イベントなし"
crm.email.conn.crossTabSync	"別タブからスキーマ同期"
crm.email.conn.pageTitle	"🔌 連携ハブ"
crm.email.conn.pageSub	"コネクタ＆統合管理"
crm.email.conn.dwTitle	"データウェアハウス — 分析データ自動同期"
crm.email.conn.dwDesc	"BigQuery・Snowflake・Redshift・Databricksにマーケティングデータをリアルタイム同期。ネイティブコネクタで既存BIツールと即座に統合可能。"
crm.email.conn.dwBadge1	"✓ Zero-ETLパイプライン"
crm.email.conn.dwBadge2	"✓ リアルタイムストリーミング"
crm.email.conn.dwBadge4	"✓ 自動スキーマ進化"
crm.email.conn.dwBadge5	"✓ 圧縮・パーティショニング"
crm.email.conn.dwArchTitle	"データパイプラインアーキテクチャ"
crm.email.conn.dwArchAd	"広告プラットフォーム"
crm.email.conn.dwArchCommerce	"コマース"
crm.email.conn.dwArchAnalytics	"アナリティクス"
crm.email.conn.dwAuthSA	"サービスアカウント"
crm.email.conn.dwConnectPrompt	"データウェアハウス接続後マーケティングデータを自動同期します"
crm.email.conn.dwFeatureStreaming	"リアルタイムストリーミング"
crm.email.conn.dwFeaturePartition	"パーティショニング自動化"
crm.email.conn.dwFeatureML	"MLモデル統合"
crm.email.conn.dwFeatureAutoScale	"自動スケーリング"
crm.email.conn.dwFeatureSpectrum	"Spectrum外部テーブル"
crm.email.conn.dwFeatureMLBuiltin	"ML内蔵サポート"
crm.email.conn.dwFeatureDelta	"Deltaトランザクション"
crm.email.conn.dwSync5min	"5分ごと"
crm.email.conn.dwSync15min	"15分ごと"
crm.email.conn.dwSync30min	"30分ごと"
crm.email.ds.heroDesc	"API キーを登録し接続状態を管理します。"
crm.email.ds.secTitle	"セキュリティ脅威検出"
crm.email.ds.secCode	"ロック解除コード入力"
crm.email.ds.secUnlock	"ロック解除"
crm.email.ds.crossTabSync	"別タブからスキーマ同期"
crm.email.ds.tabSchema	"イベントスキーマ"
crm.email.ds.tabSchemaDesc	"標準フィールド仕様"
crm.email.ds.tabPipelineDesc	"データパイプライン"
crm.email.ds.tabMetrics	"メトリクスカタログ"
crm.email.ds.tabAlerts	"推奨/アラートルール"
crm.email.ds.tabAlertsDesc	"自動化トリガー"
crm.email.ds.badgeTotalFields	"全イベントフィールド"
crm.email.ds.badgeMetrics	"メトリクス定義"
crm.email.ds.badgeAlertRules	"アラートルール"
crm.email.ds.badgePlatforms	"対応プラットフォーム"
crm.email.ds.adEvents	"広告イベント"
crm.email.ds.adDesc	"キャンペーン・クリエイティブ・キーワード・オーディエンスレベルのインプレッション/クリック/コンバージョンイベント標準スキーマ"
crm.email.ds.marketOrders	"マーケット注文/精算"
crm.email.ds.marketDesc	"注文・返品・クレーム・精算の詳細控除項目を含むマーケットイベント標準スキーマ"
crm.email.ds.ugcInfluencer	"UGC/インフルエンサー"
crm.email.ds.ugcDesc	"コンテンツ活動・クリック・クーポン・契約・権利/ホワイトリスト標準スキーマ"
crm.email.ds.thField	"フィールド"
crm.email.ds.thType	"タイプ"
crm.email.ds.thTags	"タグ"
crm.email.ds.fields	"フィールド"
crm.email.ds.platforms	"プラットフォーム"
crm.email.ds.secCampaignHierarchy	"キャンペーン階層"
crm.email.ds.secAudienceTarget	"オーディエンスターゲティング"
crm.email.ds.secPerfMetrics	"パフォーマンス指標"
crm.email.ds.secReturnClaim	"返品・クレーム"
crm.email.ds.secCreatorIdentity	"クリエイター識別"
crm.email.ds.secContentPerf	"コンテンツパフォーマンス"
crm.email.ds.fEventId	"イベント固有UUID v4"
crm.email.ds.fPlatform	"プラットフォームコード"
crm.email.ds.fAccountId	"広告アカウントID"
crm.email.ds.fCampaignId	"キャンペーンID"
crm.email.ds.fCampaignName	"キャンペーン名"
crm.email.ds.fCampaignObj	"キャンペーン目標"
crm.email.ds.fAdsetId	"広告セット/グループID"
crm.email.ds.fAdsetName	"広告セット名"
crm.email.ds.fAdId	"クリエイティブ(広告)ID"
crm.email.ds.fAdName	"クリエイティブ名"
crm.email.ds.fCreativeType	"クリエイティブタイプ"
crm.email.ds.fKeywordId	"検索キーワードID"
crm.email.ds.fKeywordText	"キーワードテキスト"
crm.email.ds.fMatchType	"キーワードマッチタイプ"
crm.email.ds.fAudienceId	"オーディエンスセグメントID"
crm.email.ds.fAudienceType	"リターゲト/LAL/関心"
crm.email.ds.fGeoCountry	"国コード"
crm.email.ds.fDeviceType	"デバイスタイプ"
crm.email.ds.fEventDate	"イベント日時UTC"
crm.email.ds.fImpressions	"インプレッション数"
crm.email.ds.fClicks	"クリック数"
crm.email.ds.fCurrency	"通貨コード"
crm.email.ds.fConversions	"コンバージョン数"
crm.email.ds.fConvValue	"コンバージョン金額"
crm.email.ds.fReach	"ユニークリーチ"
crm.email.ds.fCtr	"クリック率"
crm.email.ds.fCpc	"クリック単価"
crm.email.ds.fPlatformFee	"プラットフォーム手数料"
crm.email.ds.fCreatorId	"内部クリエイターUUID"
crm.email.ds.fHandle	"プラットフォームハンドル"
crm.email.ds.fTier	"クリエイターティア"
crm.email.ds.fContractType	"契約タイプ"
crm.email.ds.fContentId	"プラットフォームコンテンツID"
crm.email.ds.fContentType	"コンテンツタイプ"
crm.email.ds.fLikes	"いいね数"
crm.email.ds.fEngRate	"エンゲージメント率"
crm.email.ds.fAttribRevenue	"アトリビューション寄与売上"
crm.email.ds.pipeMetricsCalc	"メトリクス計算"
crm.email.ds.pipeRecommend	"推奨/アラート"
crm.email.ds.pipeAdApiDesc	"OAuth2トークン自動更新、15分間隔"
crm.email.ds.pipeMarketFile	"マーケット精算ファイル"
crm.email.ds.pipeMarketFileDesc	"精算CSV自動ダウンロード→S3ロード"
crm.email.ds.pipeUgcCrawl	"UGCコンテンツ収集"
crm.email.ds.pipeUgcCrawlDesc	"投稿後1h・24h・7d・30dスナップショット"
crm.email.ds.pipeFieldMap	"フィールドマッピング・通貨変換"
crm.email.ds.pipeFieldMapDesc	"プラットフォーム別→標準スキーママッピング"
crm.email.ds.pipeCreatorUnify	"クリエイターID統合"
crm.email.ds.pipeCreatorUnifyDesc	"メールハッシュ+ハンドル類似度ベース重複検出"
crm.email.ds.pipeDQ	"データ品質検証"
crm.email.ds.pipeDQDesc	"必須フィールドNULLチェック、異常検出"
crm.email.ds.pipeStreamAgg	"リアルタイム集計"
crm.email.ds.pipeStreamAggDesc	"Kafka Streams: 1分ウィンドウ集計→Redis→ダッシュボード"
crm.email.ds.pipeBatchAgg	"日次バッチ集計"
crm.email.ds.pipeDerivedMetrics	"派生メトリクス"
crm.email.ds.pipeDerivedMetricsDesc	"ROAS・ACOS・CTR・CVR・返品率等"
crm.email.ds.pipeAnomalyAlert	"異常アラート"
crm.email.ds.pipeAnomalyAlertDesc	"anomaly_score > 70 → Slack + インアプリ"
crm.email.ds.pipeBudgetReallocDesc	"ROAS基準予算移動シミュレーション"
crm.email.ds.flowPlatformApi	"プラットフォームAPI"
crm.email.ds.dataFlowSummary	"データフロー要約"
crm.email.ds.domain	"ドメイン"
crm.email.ds.metric	"メトリクス"
crm.email.ds.alertCondition	"アラート条件"
crm.email.ds.definedMetrics	"定義済みメトリクス"
crm.email.ds.metricsCatalog	"メトリクスカタログ"
crm.email.ds.metEngRate	"エンゲージメント率"
crm.email.ds.metCreatorROI	"クリエイターROI"
crm.email.ds.triggerCondition	"トリガー条件"
crm.email.ds.channel	"チャネル"
crm.email.ds.alertRuleCatalog	"推奨/アラートルールカタログ"
crm.email.ds.ruleROAS2Action	"キャンペーン自動一時停止 + 即時Slack通知"
crm.email.ds.ruleROAS3Action	"予算再配分推奨カード"
crm.email.ds.ruleReturn12Action	"商品運営対策推奨 + MDメール"
crm.email.ds.ruleOverpay	"過払い検出"
crm.email.ds.ruleOverpayAction	"回収ワークフロートリガー"
crm.email.ds.ruleWhitelistD30	"ホワイトリスト満了 D-30"
crm.email.ds.ruleWhitelistD30Action	"クリエイターに更新依頼メール"
crm.email.ds.ruleWhitelistD7	"ホワイトリスト満了 D-7"
crm.email.ds.ruleWhitelistD7Action	"緊急広告配信レビューバナー"
crm.email.ds.ruleWhitelistD0	"ホワイトリスト D-0 期限切"
crm.email.ds.ruleCreatorROI10	"クリエイターROI < 10x"
crm.email.ds.ruleHighViewLowOrderAction	"コンテンツ/LP最適化推奨"
crm.email.pxl.heroDesc	"API キーを登録し接続状態を管理します。"
crm.email.pxl.tabDashboard	"分析ダッシュボード"
crm.email.pxl.tabSettings	"ピクセル設定"
crm.email.pxl.tabEvents	"イベント"
crm.email.pxl.loading	"データ読み込み中..."
crm.email.pxl.noDataTitle	"データがありません"
crm.email.pxl.noDataDesc	"ピクセルをインストールすると分析データが収集されます。まずピクセル設定タブでピクセルを作成してください。"
crm.email.pxl.totalEvents	"全イベント"
crm.email.pxl.serverSideCAPI	"サーバーサイドCAPI"
crm.email.pxl.serverSideEvent	"サーバーサイドイベント"
crm.email.pxl.funnelTitle	"コンバージョンファネル (訪問 → 購入)"
crm.email.pxl.funnelCart	"カートに追加"
crm.email.pxl.channelAttr	"チャネル別アトリビューション"
crm.email.pxl.noChannelData	"データなし — ピクセル収集後に確認可能"
crm.email.pxl.source	"ソース"
crm.email.pxl.medium	"メディア"
crm.email.pxl.sessions	"セッション"
crm.email.pxl.conversions	"コンバージョン"
crm.email.pxl.createPixel	"新規ピクセル作成"
crm.email.pxl.pixelName	"ピクセル名"
crm.email.pxl.pixelNamePh	"メインショップピクセル"
crm.email.pxl.domain	"ドメイン"
crm.email.pxl.metaCAPIToken	"Meta CAPIトークン"
crm.email.pxl.nameRequired	"ピクセル名を入力してください"
crm.email.pxl.createSuccess	"ピクセルが作成されました"
crm.email.pxl.createPixelBtn	"ピクセル作成"
crm.email.pxl.pixelList	"ピクセル一覧"
crm.email.pxl.noPixels	"作成されたピクセルがありません"
crm.email.pxl.snippet	"スニペット"
crm.email.pxl.deleteConfirm	"このピクセルを削除しますか？"
crm.email.pxl.snippetTitle	"インストールスニペットコード"
crm.email.pxl.copy	"コピー"
crm.email.pxl.snippetGuide1	"上記のコードをウェブサイトの "
crm.email.pxl.snippetGuide2	" タグ内に貼り付けてください。"
crm.email.pxl.snippetGuide3	"Meta CAPIとTikTok Events APIにサーバーサイドで自動転送されます。"
crm.email.pxl.testEventSend	"テストイベント送信"
crm.email.pxl.eventType	"イベントタイプ"
crm.email.pxl.sendEvent	"イベント送信"
crm.email.pxl.realtimeStream	"リアルタイムイベントストリーム"
crm.email.pxl.noEvents	"イベントなし — テストイベントを送信するかピクセルをインストールしてください"
crm.email.pxl.secAlert	"🚨 セキュリティ警告：不審な入力を検知"
crm.email.pxl.secBlocked	"ブロック済み"
crm.email.pxl.secTotal	"件の脅威を検知"
crm.email.pxl.secLockTitle	"セキュリティロック有効"
crm.email.pxl.secLockDesc	"異常なリクエストパターンが検知されました。セキュリティロックが有効化されました。"
crm.email.pxl.secLockWait	"30秒後に自動解除されます"
crm.email.pxl.secInputBlocked	"セキュリティ：危険な入力がブロックされました"
crm.email.dt.heroDesc	"API キーを登録し接続状態を管理します。"
crm.email.dt.trustScore	"データ信頼度スコア"
crm.email.dt.liveData	"ライブデータ"
crm.email.dt.tabOverview	"データ現況"
crm.email.dt.tabPixel	"ピクセル連携"
crm.email.dt.sourceOverview	"データソース別信頼度状況"
crm.email.dt.srcInventory	"在庫データ"
crm.email.dt.srcInventoryDesc	"API連携またはCSVアップロード"
crm.email.dt.srcOrders	"注文データ"
crm.email.dt.srcOrdersDesc	"チャネルAPIからリアルタイム収集"
crm.email.dt.srcAdROASDesc	"ピクセル未連携時は推定値を使用"
crm.email.dt.srcConversion	"コンバージョンデータ"
crm.email.dt.srcConversionDesc	"Meta/Googleピクセル連携が必要"
crm.email.dt.srcCRM	"CRMセグメント"
crm.email.dt.srcCRMDesc	"AI推定セグメント（実測ではない）"
crm.email.dt.srcSettlement	"精算データ"
crm.email.dt.srcSettlementDesc	"チャネル精算レポートのアップロード"
crm.email.dt.srcAttributionDesc	"サーバーサイドCAPI連携が必要"
crm.email.dt.srcPnLDesc	"売上・在庫ベースの推定計算"
crm.email.dt.improveTitle	"データ信頼度の向上方法"
crm.email.dt.improveStep1	"Meta Pixel + CAPI連携でコンバージョンデータを実測値に変換"
crm.email.dt.improveStep2	"Google Analytics 4連携でサイトトラフィックの実測分析を開始"
crm.email.dt.improveStep3	"チャネルAPIキー登録で注文・在庫データをリアルタイム収集"
crm.email.dt.pixelTitle	"広告ピクセル＆コンバージョンAPI連携"
crm.email.dt.pixelDesc	"ピクセル連携により、ROAS・コンバージョンデータが推定値から実測値に切り替わります"
crm.email.dt.integrated	"連携済み"
crm.email.dt.fillAllFields	"すべてのフィールドを入力してください"
crm.email.dt.connectTest	"接続テスト"
crm.email.dt.testDone	"テスト完了"
crm.email.dt.saveIntegration	"連携を保存"
crm.email.dt.cancel	"キャンセル"
crm.email.dt.metaDesc	"サーバーサイドConversion Event転送でiOS 14+の計測を復元"
crm.email.dt.metaStep1	"Metaビジネスマネージャー → イベントマネージャーを開く"
crm.email.dt.metaStep2	"データソース追加 → ウェブサイト → Pixel IDをコピー"
crm.email.dt.metaStep3	"下の入力欄にPixel IDを入力して保存"
crm.email.dt.metaStep4	"CAPIアクセストークンを生成（イベントマネージャー → 設定）"
crm.email.dt.googleDesc	"GA4 Enhanced Ecommerce + Google Ads コンバージョントラッキング"
crm.email.dt.googleStep1	"Google Analytics → 管理 → データストリーム → 測定IDをコピー"
crm.email.dt.googleStep2	"Google Ads → ツール → コンバージョン → タグ設定 → コンバージョンIDをコピー"
crm.email.dt.googleStep3	"下の入力欄にIDを入力"
crm.email.dt.naverName	"Naver共通スクリプト"
crm.email.dt.naverDesc	"Naver SearchAd + ショッピングコンバージョントラッキング"
