keypath,ko_value,ko_class,en_value,en_class,ja_value,ja_class,zh_value,zh_class,zh-TW_value,zh-TW_class,es_value,es_class,fr_value,fr_class,de_value,de_class,pt_value,pt_class,ru_value,ru_class,ar_value,ar_class,hi_value,hi_class,id_value,id_class,th_value,th_class,vi_value,vi_class,n_placeholder,action
pages.marketingIntel.influencer.attrData.guideLtvName,LTV vs CAC,PASS,LTV vs CAC,PASS,LTV vs CAC,PASS,LTV/CAC,PASS,LTV/CAC,PASS,LTV vs CAC,PASS,LTV vs CAC,PASS,LTV/CAC,PASS,LTV vs CAC,PASS,LTV vs CAC,PASS,LTV vs CAC,PASS,LTV vs CAC,PASS,LTV/CAC,PASS,LTV/CAC,PASS,LTV/CAC,PASS,0,skip
pages.marketingIntel.influencer.attrData.guideMarkovDesc,,MISSING,Markov chain removal effect and Double ML incremental uplift analysis.,PASS,除去効果分析,PASS,移除效应,PASS,移除效应,PASS,Markov chain removal effect and Double ML incremental uplift analysis.,PASS,Markov chain removal effect and Double ML incremental uplift analysis.,PASS,ลบออก,PASS,Markov chain removal effect and Double ML incremental uplift analysis.,PASS,Markov chain removal effect and Double ML incremental uplift analysis.,PASS,Markov chain removal effect and Double ML incremental uplift analysis.,PASS,Markov chain removal effect and Double ML incremental uplift analysis.,PASS,移除,PASS,Markov chain removal effect and Double ML incremental uplift analysis.,PASS,Penghapusan,PASS,0,skip
pages.marketingIntel.influencer.attrData.guideMarkovName,마르코프+업리프트,PASS,Markov+Uplift,PASS,Markov+Uplift,PASS,Markov,PASS,Markov,PASS,Markov+Uplift,PASS,Markov+Uplift,PASS,Markov,PASS,Markov+Uplift,PASS,Markov+Uplift,PASS,Markov+Uplift,PASS,Markov+Uplift,PASS,Markov,PASS,Markov,PASS,Markov,PASS,0,skip
pages.marketingIntel.influencer.attrData.guideMmmDesc,,MISSING,52-week time series marketing mix model for channel investment efficiency.,PASS,52週分析,PASS,52周,PASS,52周,PASS,52-week time series marketing mix model for channel investment efficiency.,PASS,52-week time series marketing mix model for channel investment efficiency.,PASS,52 สัปดาห์,PASS,52-week time series marketing mix model for channel investment efficiency.,PASS,52-week time series marketing mix model for channel investment efficiency.,PASS,52-week time series marketing mix model for channel investment efficiency.,PASS,52-week time series marketing mix model for channel investment efficiency.,PASS,52週,PASS,52-week time series marketing mix model for channel investment efficiency.,PASS,52 minggu,PASS,0,skip
pages.marketingIntel.influencer.attrData.guideMmmName,베이지안 MMM,PASS,Bayesian MMM,PASS,Bayesian MMM,PASS,MMM,PASS,MMM,PASS,Bayesian MMM,PASS,Bayesian MMM,PASS,MMM,PASS,Bayesian MMM,PASS,Bayesian MMM,PASS,Bayesian MMM,PASS,Bayesian MMM,PASS,MMM,PASS,MMM,PASS,MMM,PASS,0,skip
pages.marketingIntel.influencer.attrData.guideMtaDesc,5개 모델 비교,PASS,Compare channel contributions using 5 multi-touch attribution models.,PASS,5モデル比較,PASS,5模型,PASS,5模型,PASS,Compare channel contributions using 5 multi-touch attribution models.,PASS,Compare channel contributions using 5 multi-touch attribution models.,PASS,5 โมเดล,PASS,Compare channel contributions using 5 multi-touch attribution models.,PASS,Compare channel contributions using 5 multi-touch attribution models.,PASS,Compare channel contributions using 5 multi-touch attribution models.,PASS,Compare channel contributions using 5 multi-touch attribution models.,PASS,5模型,PASS,Compare channel contributions using 5 multi-touch attribution models.,PASS,5 model,PASS,0,skip
pages.marketingIntel.influencer.attrData.guideMtaName,멀티터치,PASS,Multi-Touch,PASS,Multi-Touch,PASS,Multi-Touch,PASS,Multi-Touch,PASS,Multi-Touch,PASS,Multi-Touch,PASS,Multi-Touch,PASS,Multi-Touch,PASS,Multi-Touch,PASS,Multi-Touch,PASS,Multi-Touch,PASS,Multi-Touch,PASS,Multi-Touch,PASS,Multi-Touch,PASS,0,skip
pages.marketingIntel.influencer.attrData.guideShapleyDesc,공정한 기여도,PASS,Fair contribution calculation and channel synergy analysis using game theory.,PASS,公平な貢献度,PASS,公平贡献,PASS,公平贡献,PASS,Fair contribution calculation and channel synergy analysis using game theory.,PASS,Fair contribution calculation and channel synergy analysis using game theory.,PASS,ยุติธรรม,PASS,Fair contribution calculation and channel synergy analysis using game theory.,PASS,Fair contribution calculation and channel synergy analysis using game theory.,PASS,Fair contribution calculation and channel synergy analysis using game theory.,PASS,Fair contribution calculation and channel synergy analysis using game theory.,PASS,公平,PASS,Fair contribution calculation and channel synergy analysis using game theory.,PASS,Adil,PASS,0,skip
pages.marketingIntel.influencer.attrData.guideShapleyName,Shapley,PASS,Exact Shapley,PASS,Shapley,PASS,Shapley,PASS,Shapley,PASS,Exact Shapley,PASS,Exact Shapley,PASS,Shapley,PASS,Shapley,PASS,Shapley,PASS,Shapley,PASS,Shapley,PASS,Shapley,PASS,Shapley,PASS,Shapley,PASS,0,skip
pages.marketingIntel.influencer.attrData.guideTabsTitle,탭 설명,PASS,Tab-by-Tab Guide,PASS,タブ説明,PASS,标签说明,PASS,标签说明,PASS,Tab-by-Tab Guide,PASS,Tab-by-Tab Guide,PASS,คู่มือแท็บ,PASS,Tab-by-Tab Guide,PASS,Tab-by-Tab Guide,PASS,Tab-by-Tab Guide,PASS,Tab-by-Tab Guide,PASS,標籤,PASS,คำอธิบายรายละเอียดแต่ละแท็บ,PASS,Panduan Tab,PASS,0,skip
pages.marketingIntel.influencer.attrData.health,헬스 스코어,PASS,Health Score,PASS,Health Score,PASS,Health Score,PASS,Health Score,PASS,Health Score,PASS,Health Score,PASS,Health Score,PASS,Health Score,PASS,Health Score,PASS,Health Score,PASS,Health Score,PASS,Health Score,PASS,Health Score,PASS,Health Score,PASS,0,skip
pages.marketingIntel.influencer.attrData.highest,Highest,P4,Highest,P4,Highest,P4,Highest,P4,Highest,P4,Highest,P4,Highest,P4,Highest,P4,Highest,P4,Highest,P4,Highest,P4,Highest,P4,Highest,P4,Highest,P4,Highest,P4,15,translate
pages.marketingIntel.influencer.attrData.hubRun,허브 실행,PASS,Hub Run,PASS,Hub Run,PASS,Hub Run,PASS,Hub Run,PASS,Hub Run,PASS,Hub Run,PASS,Hub Run,PASS,Hub Run,PASS,Hub Run,PASS,Hub Run,PASS,Hub Run,PASS,Hub Run,PASS,Hub Run,PASS,Hub Run,PASS,0,skip
pages.marketingIntel.influencer.attrData.increase,Increase,P4,Increase,P4,Increase,P4,Increase,P4,Increase,P4,Increase,P4,Increase,P4,Increase,P4,Increase,P4,Increase,P4,Increase,P4,Increase,P4,Increase,P4,Increase,P4,Increase,P4,15,translate
pages.marketingIntel.influencer.attrData.lastTouch,마지막 터치,PASS,Last Touch,PASS,Last Touch,PASS,Last Touch,PASS,Last Touch,PASS,Last Touch,PASS,Last Touch,PASS,Last Touch,PASS,Last Touch,PASS,Last Touch,PASS,Last Touch,PASS,Last Touch,PASS,Last Touch,PASS,Last Touch,PASS,Last Touch,PASS,0,skip
pages.marketingIntel.influencer.attrData.linear,Linear,P4,Linear,P4,Linear,P4,Linear,P4,Linear,P4,Linear,P4,Linear,P4,Linear,P4,Linear,P4,Linear,P4,Linear,P4,Linear,P4,Linear,P4,Linear,P4,Linear,P4,15,translate
pages.marketingIntel.influencer.attrData.ltvcacTitle,LTV/CAC 분석,PASS,Ltvcac Title,PASS,Ltvcac Title,PASS,Ltvcac Title,PASS,Ltvcac Title,PASS,Ltvcac Title,PASS,Ltvcac Title,PASS,Ltvcac Title,PASS,Ltvcac Title,PASS,Ltvcac Title,PASS,Ltvcac Title,PASS,Ltvcac Title,PASS,Ltvcac Title,PASS,Ltvcac Title,PASS,Ltvcac Title,PASS,0,skip
pages.marketingIntel.influencer.attrData.maintain,Maintain,P4,Maintain,P4,Maintain,P4,Maintain,P4,Maintain,P4,Maintain,P4,Maintain,P4,Maintain,P4,Maintain,P4,Maintain,P4,Maintain,P4,Maintain,P4,Maintain,P4,Maintain,P4,Maintain,P4,15,translate
pages.marketingIntel.influencer.attrData.markovInProgress,마르코프 분석 진행 중...,PASS,Markov In Progress,PASS,Markov In Progress,PASS,Markov In Progress,PASS,Markov In Progress,PASS,Markov In Progress,PASS,Markov In Progress,PASS,Markov In Progress,PASS,Markov In Progress,PASS,Markov In Progress,PASS,Markov In Progress,PASS,Markov In Progress,PASS,Markov In Progress,PASS,Markov In Progress,PASS,Markov In Progress,PASS,0,skip
pages.marketingIntel.influencer.attrData.markovRemoval,🔗 마르코프 체인 — 제거 효과,PASS,🔗 Markov Chain — Removal Effect,PASS,🔗 Markov Chain — Removal Effect,PASS,🔗 Markov Chain — Removal Effect,PASS,🔗 Markov Chain — Removal Effect,PASS,🔗 Markov Chain — Removal Effect,PASS,🔗 Markov Chain — Removal Effect,PASS,🔗 Markov Chain — Removal Effect,PASS,🔗 Markov Chain — Removal Effect,PASS,🔗 Markov Chain — Removal Effect,PASS,🔗 Markov Chain — Removal Effect,PASS,🔗 Markov Chain — Removal Effect,PASS,🔗 Markov Chain — Removal Effect,PASS,🔗 Markov Chain — Removal Effect,PASS,🔗 Markov Chain — Removal Effect,PASS,0,skip
pages.marketingIntel.influencer.attrData.markovTitle,마르코프 분석,PASS,Markov Title,PASS,Markov Title,PASS,Markov Title,PASS,Markov Title,PASS,Markov Title,PASS,Markov Title,PASS,Markov Title,PASS,Markov Title,PASS,Markov Title,PASS,Markov Title,PASS,Markov Title,PASS,Markov Title,PASS,Markov Title,PASS,Markov Title,PASS,0,skip
pages.marketingIntel.influencer.attrData.mmmSim,MMM 시뮬레이션,PASS,Mmm Sim,PASS,Mmm Sim,PASS,Mmm Sim,PASS,Mmm Sim,PASS,Mmm Sim,PASS,Mmm Sim,PASS,Mmm Sim,PASS,Mmm Sim,PASS,Mmm Sim,PASS,Mmm Sim,PASS,Mmm Sim,PASS,Mmm Sim,PASS,Mmm Sim,PASS,Mmm Sim,PASS,0,skip
pages.marketingIntel.influencer.attrData.mmmTitle,MMM 분석,PASS,Mmm Title,PASS,Mmm Title,PASS,Mmm Title,PASS,Mmm Title,PASS,Mmm Title,PASS,Mmm Title,PASS,Mmm Title,PASS,Mmm Title,PASS,Mmm Title,PASS,Mmm Title,PASS,Mmm Title,PASS,Mmm Title,PASS,Mmm Title,PASS,Mmm Title,PASS,0,skip
pages.marketingIntel.influencer.attrData.modelCompareTable,모델 비교표,PASS,Model Compare Table,PASS,Model Compare Table,PASS,Model Compare Table,PASS,Model Compare Table,PASS,Model Compare Table,PASS,Model Compare Table,PASS,Model Compare Table,PASS,Model Compare Table,PASS,Model Compare Table,PASS,Model Compare Table,PASS,Model Compare Table,PASS,Model Compare Table,PASS,Model Compare Table,PASS,Model Compare Table,PASS,0,skip
pages.marketingIntel.influencer.attrData.negativeCount,음수 기여,PASS,Negative Count,PASS,음수 기여,PASS,Negative Count,PASS,Negative Count,PASS,Negative Count,PASS,Negative Count,PASS,Negative Count,PASS,음수 기여,PASS,음수 기여,PASS,음수 기여,PASS,음수 기여,PASS,Negative Count,PASS,Negative Count,PASS,Negative Count,PASS,0,skip
pages.marketingIntel.influencer.attrData.noAbData,A/B 테스트 데이터가 없습니다,PASS,No Ab Data,PASS,No Ab Data,PASS,No Ab Data,PASS,No Ab Data,PASS,No Ab Data,PASS,No Ab Data,PASS,No Ab Data,PASS,No Ab Data,PASS,No Ab Data,PASS,No Ab Data,PASS,No Ab Data,PASS,No Ab Data,PASS,No Ab Data,PASS,No Ab Data,PASS,0,skip
pages.marketingIntel.influencer.attrData.noJourneyData,고객 여정 데이터가 없습니다,PASS,No Journey Data,PASS,No Journey Data,PASS,No Journey Data,PASS,No Journey Data,PASS,No Journey Data,PASS,No Journey Data,PASS,No Journey Data,PASS,No Journey Data,PASS,No Journey Data,PASS,No Journey Data,PASS,No Journey Data,PASS,No Journey Data,PASS,No Journey Data,PASS,No Journey Data,PASS,0,skip
pages.marketingIntel.influencer.attrData.noTimeSeriesData,시계열 데이터가 없습니다,PASS,No Time Series Data,PASS,No Time Series Data,PASS,No Time Series Data,PASS,No Time Series Data,PASS,No Time Series Data,PASS,No Time Series Data,PASS,No Time Series Data,PASS,No Time Series Data,PASS,No Time Series Data,PASS,No Time Series Data,PASS,No Time Series Data,PASS,No Time Series Data,PASS,No Time Series Data,PASS,No Time Series Data,PASS,0,skip
pages.marketingIntel.influencer.attrData.normal,중간,PASS,Normal,P4,Medium,PASS,Medium,PASS,Medium,PASS,Normal,P4,Normal,P4,Medium,PASS,Medium,PASS,Medium,PASS,Medium,PASS,Medium,PASS,Medium,PASS,Medium,PASS,Normal,P4,4,translate
pages.marketingIntel.influencer.attrData.northbeam,Northbeam,P4,Northbeam,P4,Northbeam,P4,Northbeam,P4,Northbeam,P4,Northbeam,P4,Northbeam,P4,Northbeam,P4,Northbeam,P4,Northbeam,P4,Northbeam,P4,Northbeam,P4,Northbeam,P4,Northbeam,P4,Northbeam,P4,15,translate
pages.marketingIntel.influencer.attrData.position,Position,P4,Position,P4,Position,P4,Position,P4,Position,P4,Position,P4,Position,P4,Position,P4,Position,P4,Position,P4,Position,P4,Position,P4,Position,P4,Position,P4,Position,P4,15,translate
pages.marketingIntel.influencer.attrData.radarCompare,레이더 비교,PASS,Radar Compare,PASS,Radar Compare,PASS,Radar Compare,PASS,Radar Compare,PASS,Radar Compare,PASS,Radar Compare,PASS,Radar Compare,PASS,Radar Compare,PASS,Radar Compare,PASS,Radar Compare,PASS,Radar Compare,PASS,Radar Compare,PASS,การวิเคราะห์เปรียบเทียบด้วยเรดาร์ชาร์ต,PASS,Radar Compare,PASS,0,skip
pages.marketingIntel.influencer.attrData.realtimeSync,실시간 동기화 ✓,PASS,Real-time Sync ✓,PASS,Real-time Sync ✓,PASS,Real-time Sync ✓,PASS,Real-time Sync ✓,PASS,Real-time Sync ✓,PASS,Real-time Sync ✓,PASS,Real-time Sync ✓,PASS,Real-time Sync ✓,PASS,Real-time Sync ✓,PASS,Real-time Sync ✓,PASS,Real-time Sync ✓,PASS,Real-time Sync ✓,PASS,Real-time Sync ✓,PASS,Real-time Sync ✓,PASS,0,skip
pages.marketingIntel.influencer.attrData.review,Review,P4,Review,P4,Review,P4,Review,P4,Review,P4,Review,P4,Review,P4,Review,P4,Review,P4,Review,P4,Review,P4,Review,P4,Review,P4,Review,P4,??寃??,PASS,14,translate
pages.marketingIntel.influencer.attrData.roasSurge,ROAS 급등,PASS,Roas Surge,PASS,Roas Surge,PASS,Roas Surge,PASS,Roas Surge,PASS,Roas Surge,PASS,Roas Surge,PASS,Roas Surge,PASS,Roas Surge,PASS,Roas Surge,PASS,Roas Surge,PASS,Roas Surge,PASS,Roas Surge,PASS,Roas Surge,PASS,Roas Surge,PASS,0,skip
pages.marketingIntel.influencer.attrData.saturation,포화,PASS,Saturation,P4,포화,PASS,Saturation,P4,Saturation,P4,Saturation,P4,Saturation,P4,Saturation,P4,포화,PASS,포화,PASS,포화,PASS,포화,PASS,Saturation,P4,Saturation,P4,Saturation,P4,9,translate
pages.marketingIntel.influencer.attrData.saturationWarning,포화 경고,PASS,Saturation Warning,PASS,Saturation Warning,PASS,Saturation Warning,PASS,Saturation Warning,PASS,Saturation Warning,PASS,Saturation Warning,PASS,Saturation Warning,PASS,Saturation Warning,PASS,Saturation Warning,PASS,Saturation Warning,PASS,Saturation Warning,PASS,Saturation Warning,PASS,Saturation Warning,PASS,Saturation Warning,PASS,0,skip
pages.marketingIntel.influencer.attrData.shapleyBudgetRec,Shapley 기반 예산 추천,PASS,Shapley Budget Rec,PASS,Shapley Budget Rec,PASS,Shapley Budget Rec,PASS,Shapley Budget Rec,PASS,Shapley Budget Rec,PASS,Shapley Budget Rec,PASS,Shapley Budget Rec,PASS,Shapley Budget Rec,PASS,Shapley Budget Rec,PASS,Shapley Budget Rec,PASS,Shapley Budget Rec,PASS,Shapley Budget Rec,PASS,Shapley Budget Rec,PASS,Shapley Budget Rec,PASS,0,skip
pages.marketingIntel.influencer.attrData.shapleyInProgress,Shapley 분석 진행 중...,PASS,Shapley In Progress,PASS,Shapley In Progress,PASS,Shapley In Progress,PASS,Shapley In Progress,PASS,Shapley In Progress,PASS,Shapley In Progress,PASS,Shapley In Progress,PASS,Shapley In Progress,PASS,Shapley In Progress,PASS,Shapley In Progress,PASS,Shapley In Progress,PASS,Shapley In Progress,PASS,Shapley In Progress,PASS,Shapley In Progress,PASS,0,skip
pages.marketingIntel.influencer.attrData.shapleyTitle,Shapley 분석,PASS,Shapley Title,PASS,Shapley Title,PASS,Shapley Title,PASS,Shapley Title,PASS,Shapley Title,PASS,Shapley Title,PASS,Shapley Title,PASS,Shapley Title,PASS,Shapley Title,PASS,Shapley Title,PASS,Shapley Title,PASS,Shapley Title,PASS,Shapley Title,PASS,Shapley Title,PASS,0,skip
pages.marketingIntel.influencer.attrData.sizeHdr,Scale,PASS,Scale,PASS,Scale,PASS,Scale,PASS,Scale,PASS,Scale,PASS,Scale,PASS,Scale,PASS,Scale,PASS,Scale,PASS,Scale,PASS,Scale,PASS,Scale,PASS,Scale,PASS,Scale,PASS,0,skip
pages.marketingIntel.influencer.attrData.statusAlert,알림,PASS,Status Alert,PASS,Status Alert,PASS,Status Alert,PASS,Status Alert,PASS,Status Alert,PASS,Status Alert,PASS,Status Alert,PASS,Status Alert,PASS,Status Alert,PASS,Status Alert,PASS,Status Alert,PASS,Status Alert,PASS,Status Alert,PASS,Status Alert,PASS,0,skip
pages.marketingIntel.influencer.attrData.statusCrit,심각,PASS,Status Crit,PASS,Status Crit,PASS,Status Crit,PASS,Status Crit,PASS,Status Crit,PASS,Status Crit,PASS,Status Crit,PASS,Status Crit,PASS,Status Crit,PASS,Status Crit,PASS,Status Crit,PASS,Status Crit,PASS,Status Crit,PASS,Status Crit,PASS,0,skip
pages.marketingIntel.influencer.attrData.statusInfo,정보,PASS,Status Info,PASS,Status Info,PASS,Status Info,PASS,Status Info,PASS,Status Info,PASS,Status Info,PASS,Status Info,PASS,Status Info,PASS,Status Info,PASS,Status Info,PASS,Status Info,PASS,Status Info,PASS,Status Info,PASS,Status Info,PASS,0,skip
pages.marketingIntel.influencer.attrData.statusOk,정상,PASS,Status Ok,PASS,Status Ok,PASS,Status Ok,PASS,Status Ok,PASS,Status Ok,PASS,Status Ok,PASS,Status Ok,PASS,Status Ok,PASS,Status Ok,PASS,Status Ok,PASS,Status Ok,PASS,Status Ok,PASS,Status Ok,PASS,Status Ok,PASS,0,skip
pages.marketingIntel.influencer.attrData.statusWarn,주의,PASS,Status Warn,PASS,Status Warn,PASS,Status Warn,PASS,Status Warn,PASS,Status Warn,PASS,Status Warn,PASS,Status Warn,PASS,Status Warn,PASS,Status Warn,PASS,Status Warn,PASS,Status Warn,PASS,Status Warn,PASS,Status Warn,PASS,Status Warn,PASS,0,skip
pages.marketingIntel.influencer.attrData.subtitle,정밀 Shapley (2^n) · 베이지안 MMM · 마르코프 체인 · 인크리멘털 업리프트 (Dual ML) · 톰슨 샘플링 A/B,PASS,Precision Shapley (2^n) · Bayesian MMM · Markov Chain · Incremental Uplift (Dual ML) · Thompson Sampling A/B,PASS,Precision Shapley (2^n) · Bayesian MMM · Markov Chain · Incremental Uplift (Dual ML) · Thompson Sampling A/B,PASS,Precision Shapley (2^n) · Bayesian MMM · Markov Chain · Incremental Uplift (Dual ML) · Thompson Sampling A/B,PASS,Precision Shapley (2^n) · Bayesian MMM · Markov Chain · Incremental Uplift (Dual ML) · Thompson Sampling A/B,PASS,Precision Shapley (2^n) · Bayesian MMM · Markov Chain · Incremental Uplift (Dual ML) · Thompson Sampling A/B,PASS,Precision Shapley (2^n) · Bayesian MMM · Markov Chain · Incremental Uplift (Dual ML) · Thompson Sampling A/B,PASS,Precision Shapley (2^n) · Bayesian MMM · Markov Chain · Incremental Uplift (Dual ML) · Thompson Sampling A/B,PASS,Precision Shapley (2^n) · Bayesian MMM · Markov Chain · Incremental Uplift (Dual ML) · Thompson Sampling A/B,PASS,Precision Shapley (2^n) · Bayesian MMM · Markov Chain · Incremental Uplift (Dual ML) · Thompson Sampling A/B,PASS,Precision Shapley (2^n) · Bayesian MMM · Markov Chain · Incremental Uplift (Dual ML) · Thompson Sampling A/B,PASS,Precision Shapley (2^n) · Bayesian MMM · Markov Chain · Incremental Uplift (Dual ML) · Thompson Sampling A/B,PASS,Precision Shapley (2^n) · Bayesian MMM · Markov Chain · Incremental Uplift (Dual ML) · Thompson Sampling A/B,PASS,Precision Shapley (2^n) · Bayesian MMM · Markov Chain · Incremental Uplift (Dual ML) · Thompson Sampling A/B,PASS,Precision Shapley (2^n) · Bayesian MMM · Markov Chain · Incremental Uplift (Dual ML) · Thompson Sampling A/B,PASS,0,skip
pages.marketingIntel.influencer.attrData.tabAbDesc,A/B 테스트 안내,PASS,Tab Ab Desc,PASS,Tab Ab Desc,PASS,Tab Ab Desc,PASS,Tab Ab Desc,PASS,Tab Ab Desc,PASS,Tab Ab Desc,PASS,Tab Ab Desc,PASS,Tab Ab Desc,PASS,Tab Ab Desc,PASS,Tab Ab Desc,PASS,Tab Ab Desc,PASS,Tab Ab Desc,PASS,Tab Ab Desc,PASS,Tab Ab Desc,PASS,0,skip
pages.marketingIntel.influencer.attrData.tabAbLabel,A/B 테스트,PASS,Tab Ab Label,PASS,Tab Ab Label,PASS,Tab Ab Label,PASS,Tab Ab Label,PASS,Tab Ab Label,PASS,Tab Ab Label,PASS,Tab Ab Label,PASS,Tab Ab Label,PASS,Tab Ab Label,PASS,Tab Ab Label,PASS,Tab Ab Label,PASS,Tab Ab Label,PASS,Tab Ab Label,PASS,Tab Ab Label,PASS,0,skip
pages.marketingIntel.influencer.attrData.tabAnomalyDesc,이상 징후 안내,PASS,Tab Anomaly Desc,PASS,Tab Anomaly Desc,PASS,Tab Anomaly Desc,PASS,Tab Anomaly Desc,PASS,Tab Anomaly Desc,PASS,Tab Anomaly Desc,PASS,Tab Anomaly Desc,PASS,Tab Anomaly Desc,PASS,Tab Anomaly Desc,PASS,Tab Anomaly Desc,PASS,Tab Anomaly Desc,PASS,Tab Anomaly Desc,PASS,Tab Anomaly Desc,PASS,Tab Anomaly Desc,PASS,0,skip
pages.marketingIntel.influencer.attrData.tabAnomalyLabel,이상 징후,PASS,Tab Anomaly Label,PASS,Tab Anomaly Label,PASS,Tab Anomaly Label,PASS,Tab Anomaly Label,PASS,Tab Anomaly Label,PASS,Tab Anomaly Label,PASS,Tab Anomaly Label,PASS,Tab Anomaly Label,PASS,Tab Anomaly Label,PASS,Tab Anomaly Label,PASS,Tab Anomaly Label,PASS,Tab Anomaly Label,PASS,Tab Anomaly Label,PASS,Tab Anomaly Label,PASS,0,skip
pages.marketingIntel.influencer.attrData.tabCohortDesc,코호트 분석 안내,PASS,Tab Cohort Desc,PASS,Tab Cohort Desc,PASS,Tab Cohort Desc,PASS,Tab Cohort Desc,PASS,Tab Cohort Desc,PASS,Tab Cohort Desc,PASS,Tab Cohort Desc,PASS,Tab Cohort Desc,PASS,Tab Cohort Desc,PASS,Tab Cohort Desc,PASS,Tab Cohort Desc,PASS,Tab Cohort Desc,PASS,Tab Cohort Desc,PASS,Tab Cohort Desc,PASS,0,skip
pages.marketingIntel.influencer.attrData.tabCohortLabel,코호트,PASS,Tab Cohort Label,PASS,Tab Cohort Label,PASS,Tab Cohort Label,PASS,Tab Cohort Label,PASS,Tab Cohort Label,PASS,Tab Cohort Label,PASS,Tab Cohort Label,PASS,Tab Cohort Label,PASS,Tab Cohort Label,PASS,Tab Cohort Label,PASS,Tab Cohort Label,PASS,Tab Cohort Label,PASS,Tab Cohort Label,PASS,Tab Cohort Label,PASS,0,skip
pages.marketingIntel.influencer.attrData.tabCompareDesc,비교 분석 안내,PASS,Tab Compare Desc,PASS,Tab Compare Desc,PASS,Tab Compare Desc,PASS,Tab Compare Desc,PASS,Tab Compare Desc,PASS,Tab Compare Desc,PASS,Tab Compare Desc,PASS,Tab Compare Desc,PASS,Tab Compare Desc,PASS,Tab Compare Desc,PASS,Tab Compare Desc,PASS,Tab Compare Desc,PASS,Tab Compare Desc,PASS,Tab Compare Desc,PASS,0,skip
pages.marketingIntel.influencer.attrData.tabCompareLabel,비교,PASS,Tab Compare Label,PASS,Tab Compare Label,PASS,Tab Compare Label,PASS,Tab Compare Label,PASS,Tab Compare Label,PASS,Tab Compare Label,PASS,Tab Compare Label,PASS,Tab Compare Label,PASS,Tab Compare Label,PASS,Tab Compare Label,PASS,Tab Compare Label,PASS,Tab Compare Label,PASS,Tab Compare Label,PASS,Tab Compare Label,PASS,0,skip
pages.marketingIntel.influencer.attrData.tabGuideDesc,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,วิธีใช้,PASS,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,Cara pakai,PASS,0,skip
pages.marketingIntel.influencer.attrData.tabGuideLabel,📖 가이드,PASS,📖 Guide,PASS,📖 ガイド,PASS,📖 指南,PASS,📖 指南,PASS,📖 Guide,PASS,📖 Guide,PASS,📖 คู่มือ,PASS,📖 Guide,PASS,📖 Guide,PASS,📖 Guide,PASS,📖 Guide,PASS,📖 指南,PASS,📖 คู่มือ,PASS,📖 Panduan,PASS,0,skip
pages.marketingIntel.influencer.attrData.tabLtvDesc,LTV 분석 안내,PASS,Tab Ltv Desc,PASS,Tab Ltv Desc,PASS,Tab Ltv Desc,PASS,Tab Ltv Desc,PASS,Tab Ltv Desc,PASS,Tab Ltv Desc,PASS,Tab Ltv Desc,PASS,Tab Ltv Desc,PASS,Tab Ltv Desc,PASS,Tab Ltv Desc,PASS,Tab Ltv Desc,PASS,Tab Ltv Desc,PASS,Tab Ltv Desc,PASS,Tab Ltv Desc,PASS,0,skip
pages.marketingIntel.influencer.attrData.tabLtvLabel,LTV vs CAC,PASS,LTV vs CAC,PASS,LTV vs CAC,PASS,LTV vs CAC,PASS,LTV vs CAC,PASS,LTV vs CAC,PASS,LTV vs CAC,PASS,LTV vs CAC,PASS,LTV vs CAC,PASS,LTV vs CAC,PASS,LTV vs CAC,PASS,LTV vs CAC,PASS,LTV vs CAC,PASS,LTV vs CAC,PASS,LTV vs CAC,PASS,0,skip
pages.marketingIntel.influencer.attrData.tabMarkovDesc,마르코프 분석 안내,PASS,Tab Markov Desc,PASS,Tab Markov Desc,PASS,Tab Markov Desc,PASS,Tab Markov Desc,PASS,Tab Markov Desc,PASS,Tab Markov Desc,PASS,Tab Markov Desc,PASS,Tab Markov Desc,PASS,Tab Markov Desc,PASS,Tab Markov Desc,PASS,Tab Markov Desc,PASS,Tab Markov Desc,PASS,Tab Markov Desc,PASS,Tab Markov Desc,PASS,0,skip
pages.marketingIntel.influencer.attrData.tabMarkovLabel,마르코프,PASS,Tab Markov Label,PASS,Tab Markov Label,PASS,Tab Markov Label,PASS,Tab Markov Label,PASS,Tab Markov Label,PASS,Tab Markov Label,PASS,Tab Markov Label,PASS,Tab Markov Label,PASS,Tab Markov Label,PASS,Tab Markov Label,PASS,Tab Markov Label,PASS,Tab Markov Label,PASS,Tab Markov Label,PASS,Tab Markov Label,PASS,0,skip
pages.marketingIntel.influencer.attrData.tabMmmDesc,MMM 분석 안내,PASS,Tab Mmm Desc,PASS,Tab Mmm Desc,PASS,Tab Mmm Desc,PASS,Tab Mmm Desc,PASS,Tab Mmm Desc,PASS,Tab Mmm Desc,PASS,Tab Mmm Desc,PASS,Tab Mmm Desc,PASS,Tab Mmm Desc,PASS,Tab Mmm Desc,PASS,Tab Mmm Desc,PASS,Tab Mmm Desc,PASS,Tab Mmm Desc,PASS,Tab Mmm Desc,PASS,0,skip
