keypath,pattern,action,ko_pass,n_locales_pass,n_locales_placeholder,n_locales_missing,ko_value,ko_class,en_value,en_class,ja_value,ja_class,zh_value,zh_class,zh-TW_value,zh-TW_class,es_value,es_class,fr_value,fr_class,de_value,de_class,pt_value,pt_class,ru_value,ru_class,ar_value,ar_class,hi_value,hi_class,id_value,id_class,th_value,th_class,vi_value,vi_class
pages.marketingIntel.influencer.ihub.helpSecDesc,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,🎟 License,PASS,🎟 License,PASS,,MISSING,,MISSING,🎟 License,PASS,,MISSING,,MISSING,,MISSING,,MISSING,🎟 License,PASS,🎟 License,PASS,,MISSING
pages.marketingIntel.influencer.ihub.helpSecurity,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,Security,PASS,Security,PASS,,MISSING,,MISSING,Security,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Security,PASS,Security,PASS,,MISSING
pages.marketingIntel.influencer.ihub.helpSecurityDesc,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,All API keys are encrypted with AES-256.,PASS,All API keys are encrypted with AES-256.,PASS,,MISSING,,MISSING,All API keys are encrypted with AES-256.,PASS,,MISSING,,MISSING,,MISSING,,MISSING,All API keys are encrypted with AES-256.,PASS,All API keys are encrypted with AES-256.,PASS,,MISSING
pages.marketingIntel.influencer.ihub.helpTitle,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,API Key Management,PASS,API Key Management,PASS,,MISSING,,MISSING,API Key Management,PASS,,MISSING,,MISSING,,MISSING,,MISSING,API Key Management,PASS,API Key Management,PASS,,MISSING
pages.marketingIntel.influencer.ihub.heroDesc,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,"Register API keys for sales, advertising, and analytics channels.",PASS,"Register API keys for sales, advertising, and analytics channels.",PASS,,MISSING,,MISSING,"Register API keys for sales, advertising, and analytics channels.",PASS,,MISSING,,MISSING,,MISSING,,MISSING,"Register API keys for sales, advertising, and analytics channels.",PASS,"Register API keys for sales, advertising, and analytics channels.",PASS,,MISSING
pages.marketingIntel.influencer.ihub.importBtn,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,Import,PASS,Import,PASS,,MISSING,,MISSING,Import,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Import,PASS,Import,PASS,,MISSING
pages.marketingIntel.influencer.ihub.intActive,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,Active,PASS,Active,PASS,,MISSING,,MISSING,Active,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Active,PASS,Active,PASS,,MISSING
pages.marketingIntel.influencer.ihub.intActiveStatus,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,Active Status,PASS,Active Status,PASS,,MISSING,,MISSING,Active Status,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Active Status,PASS,Active Status,PASS,,MISSING
pages.marketingIntel.influencer.ihub.intProgress,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,Progress,PASS,Progress,PASS,,MISSING,,MISSING,Progress,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Progress,PASS,Progress,PASS,,MISSING
pages.marketingIntel.influencer.ihub.jsonFormat,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,JSON Format,PASS,JSON Format,PASS,,MISSING,,MISSING,JSON Format,PASS,,MISSING,,MISSING,,MISSING,,MISSING,JSON Format,PASS,JSON Format,PASS,,MISSING
pages.marketingIntel.influencer.ihub.keysApplied,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,Applied,PASS,Applied,PASS,,MISSING,,MISSING,Applied,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Applied,PASS,Applied,PASS,,MISSING
pages.marketingIntel.influencer.ihub.keysFetched,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,Fetched,PASS,Fetched,PASS,,MISSING,,MISSING,Fetched,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Fetched,PASS,Fetched,PASS,,MISSING
pages.marketingIntel.influencer.ihub.licActivate,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,Activate,PASS,Activate,PASS,,MISSING,,MISSING,Activate,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Activate,PASS,Activate,PASS,,MISSING
pages.marketingIntel.influencer.ihub.licActivated,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,Activated,PASS,Activated,PASS,,MISSING,,MISSING,Activated,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Activated,PASS,Activated,PASS,,MISSING
pages.marketingIntel.influencer.ihub.licActivating,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,Activating...,PASS,Activating...,PASS,,MISSING,,MISSING,Activating...,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Activating...,PASS,Activating...,PASS,,MISSING
pages.marketingIntel.influencer.ihub.licActive,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,Active,PASS,Active,PASS,,MISSING,,MISSING,Active,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Active,PASS,Active,PASS,,MISSING
pages.marketingIntel.influencer.ihub.licCurrentPlan,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,当前计划,PASS,目前方案,PASS,,MISSING,,MISSING,Aktueller Plan,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Paket Saat Ini,PASS,แผนปัจจุบัน,PASS,,MISSING
pages.marketingIntel.influencer.ihub.licDeactivated,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,Inactive,PASS,Inactive,PASS,,MISSING,,MISSING,Inactive,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Inactive,PASS,Inactive,PASS,,MISSING
pages.marketingIntel.influencer.ihub.licDesc,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,Check and manage your license.,PASS,Check and manage your license.,PASS,,MISSING,,MISSING,Check and manage your license.,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Check and manage your license.,PASS,Check and manage your license.,PASS,,MISSING
pages.marketingIntel.influencer.ihub.licExpiry,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,Expiry,PASS,Expiry,PASS,,MISSING,,MISSING,Expiry,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Expiry,PASS,Expiry,PASS,,MISSING
pages.marketingIntel.influencer.ihub.licFeatures,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,Features,PASS,Features,PASS,,MISSING,,MISSING,Features,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Features,PASS,Features,PASS,,MISSING
pages.marketingIntel.influencer.ihub.licKeyLabel,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,License Key,PASS,License Key,PASS,,MISSING,,MISSING,License Key,PASS,,MISSING,,MISSING,,MISSING,,MISSING,License Key,PASS,License Key,PASS,,MISSING
pages.marketingIntel.influencer.ihub.licKeyPh,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,Enter license key,PASS,Enter license key,PASS,,MISSING,,MISSING,Enter license key,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Enter license key,PASS,Enter license key,PASS,,MISSING
pages.marketingIntel.influencer.ihub.licPlanInfo,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,计划信息,PASS,方案資訊,PASS,,MISSING,,MISSING,Plan-Info,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Info Paket,PASS,ข้อมูลแผน,PASS,,MISSING
pages.marketingIntel.influencer.ihub.licStatus,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,Status,PASS,Status,PASS,,MISSING,,MISSING,Status,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Status,PASS,Status,PASS,,MISSING
pages.marketingIntel.influencer.ihub.licSupport,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,Support,PASS,Support,PASS,,MISSING,,MISSING,Support,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Support,PASS,Support,PASS,,MISSING
pages.marketingIntel.influencer.ihub.licTitle,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,许可证管理,PASS,授權管理,PASS,,MISSING,,MISSING,Lizenz,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Lisensi,PASS,ใบอนุญาต,PASS,,MISSING
pages.marketingIntel.influencer.ihub.licUpgrade,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,升级,PASS,升級,PASS,,MISSING,,MISSING,Upgrade,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Upgrade,PASS,อัปเกรด,PASS,,MISSING
pages.marketingIntel.influencer.ihub.linkAllBtn,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,Link All,PASS,Link All,PASS,,MISSING,,MISSING,Link All,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Link All,PASS,Link All,PASS,,MISSING
pages.marketingIntel.influencer.ihub.loadingCreds,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,Loading credentials...,PASS,Loading credentials...,PASS,,MISSING,,MISSING,Loading credentials...,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Loading credentials...,PASS,Loading credentials...,PASS,,MISSING
pages.marketingIntel.influencer.ihub.memberAddress,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,地址,PASS,地址,PASS,,MISSING,,MISSING,Adresse,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Alamat,PASS,ที่อยู่,PASS,,MISSING
pages.marketingIntel.influencer.ihub.memberAgreeData,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,I agree to data collection (Required),PASS,I agree to data collection (Required),PASS,,MISSING,,MISSING,I agree to data collection (Required),PASS,,MISSING,,MISSING,,MISSING,,MISSING,I agree to data collection (Required),PASS,I agree to data collection (Required),PASS,,MISSING
pages.marketingIntel.influencer.ihub.memberAgreeTos,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,I agree to Terms of Service (Required),PASS,I agree to Terms of Service (Required),PASS,,MISSING,,MISSING,I agree to Terms of Service (Required),PASS,,MISSING,,MISSING,,MISSING,,MISSING,I agree to Terms of Service (Required),PASS,I agree to Terms of Service (Required),PASS,,MISSING
pages.marketingIntel.influencer.ihub.memberAutoLoaded,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,自动加载,PASS,自動載入,PASS,,MISSING,,MISSING,Automatisch geladen,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Otomatis dimuat,PASS,โหลดอัตโนมัติ,PASS,,MISSING
pages.marketingIntel.influencer.ihub.memberBankAcct,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,Account Number,PASS,Account Number,PASS,,MISSING,,MISSING,Account Number,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Account Number,PASS,Account Number,PASS,,MISSING
pages.marketingIntel.influencer.ihub.memberBankName,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,Bank Name,PASS,Bank Name,PASS,,MISSING,,MISSING,Bank Name,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Bank Name,PASS,Bank Name,PASS,,MISSING
pages.marketingIntel.influencer.ihub.memberBasic,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,基本信息,PASS,基本資訊,PASS,,MISSING,,MISSING,Grundinformationen,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Informasi Dasar,PASS,ข้อมูลพื้นฐาน,PASS,,MISSING
pages.marketingIntel.influencer.ihub.memberBizInfo,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,企业详情,PASS,企业详情,PASS,,MISSING,,MISSING,Business Details,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Business Details,PASS,Business Details,PASS,,MISSING
pages.marketingIntel.influencer.ihub.memberBizNum,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,营业执照号,PASS,統一編號,PASS,,MISSING,,MISSING,Handelsregisternr.,PASS,,MISSING,,MISSING,,MISSING,,MISSING,No. Izin Usaha,PASS,เลขทะเบียน,PASS,,MISSING
pages.marketingIntel.influencer.ihub.memberBrandName,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,品牌名,PASS,品牌名稱,PASS,,MISSING,,MISSING,Markenname,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Nama Merek,PASS,ชื่อแบรนด์,PASS,,MISSING
pages.marketingIntel.influencer.ihub.memberCeoName,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,法人代表,PASS,負責人,PASS,,MISSING,,MISSING,Geschäftsführer,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Nama CEO,PASS,ชื่อผู้บริหาร,PASS,,MISSING
pages.marketingIntel.influencer.ihub.memberCommReg,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,Commerce Reg. No.,PASS,Commerce Reg. No.,PASS,,MISSING,,MISSING,Commerce Reg. No.,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Commerce Reg. No.,PASS,Commerce Reg. No.,PASS,,MISSING
pages.marketingIntel.influencer.ihub.memberCommRegPh,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,e.g. 2024-Seoul-12345,PASS,e.g. 2024-Seoul-12345,PASS,,MISSING,,MISSING,e.g. 2024-Seoul-12345,PASS,,MISSING,,MISSING,,MISSING,,MISSING,e.g. 2024-Seoul-12345,PASS,e.g. 2024-Seoul-12345,PASS,,MISSING
pages.marketingIntel.influencer.ihub.memberCompany,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,公司,PASS,公司,PASS,,MISSING,,MISSING,Unternehmen,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Perusahaan,PASS,บริษัท,PASS,,MISSING
pages.marketingIntel.influencer.ihub.memberCsPhone,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,CS Phone,PASS,CS Phone,PASS,,MISSING,,MISSING,CS Phone,PASS,,MISSING,,MISSING,,MISSING,,MISSING,CS Phone,PASS,CS Phone,PASS,,MISSING
pages.marketingIntel.influencer.ihub.memberDept,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,Department,PASS,Department,PASS,,MISSING,,MISSING,Department,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Department,PASS,Department,PASS,,MISSING
pages.marketingIntel.influencer.ihub.memberDeptPh,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,e.g. Marketing,PASS,e.g. Marketing,PASS,,MISSING,,MISSING,e.g. Marketing,PASS,,MISSING,,MISSING,,MISSING,,MISSING,e.g. Marketing,PASS,e.g. Marketing,PASS,,MISSING
pages.marketingIntel.influencer.ihub.memberDesc,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,Apply for all channel API keys at once.,PASS,Apply for all channel API keys at once.,PASS,,MISSING,,MISSING,Apply for all channel API keys at once.,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Apply for all channel API keys at once.,PASS,Apply for all channel API keys at once.,PASS,,MISSING
pages.marketingIntel.influencer.ihub.memberEmail,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,邮箱,PASS,電郵,PASS,,MISSING,,MISSING,E-Mail,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Email,PASS,อีเมล,PASS,,MISSING
pages.marketingIntel.influencer.ihub.memberGoDash,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,Go to Dashboard,PASS,Go to Dashboard,PASS,,MISSING,,MISSING,Go to Dashboard,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Go to Dashboard,PASS,Go to Dashboard,PASS,,MISSING
pages.marketingIntel.influencer.ihub.memberIndustry,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,Industry,PASS,Industry,PASS,,MISSING,,MISSING,Industry,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Industry,PASS,Industry,PASS,,MISSING
pages.marketingIntel.influencer.ihub.memberIndustryPh,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,e.g. E-commerce,PASS,e.g. E-commerce,PASS,,MISSING,,MISSING,e.g. E-commerce,PASS,,MISSING,,MISSING,,MISSING,,MISSING,e.g. E-commerce,PASS,e.g. E-commerce,PASS,,MISSING
pages.marketingIntel.influencer.ihub.memberMonthlyVol,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,Monthly API Volume,PASS,Monthly API Volume,PASS,,MISSING,,MISSING,Monthly API Volume,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Monthly API Volume,PASS,Monthly API Volume,PASS,,MISSING
pages.marketingIntel.influencer.ihub.memberName,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,姓名,PASS,姓名,PASS,,MISSING,,MISSING,Name,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Nama,PASS,ชื่อ,PASS,,MISSING
pages.marketingIntel.influencer.ihub.memberNote,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,API keys issued within 1-3 business days.,PASS,API keys issued within 1-3 business days.,PASS,,MISSING,,MISSING,API keys issued within 1-3 business days.,PASS,,MISSING,,MISSING,,MISSING,,MISSING,API keys issued within 1-3 business days.,PASS,API keys issued within 1-3 business days.,PASS,,MISSING
pages.marketingIntel.influencer.ihub.memberPhone,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,电话,PASS,電話,PASS,,MISSING,,MISSING,Telefon,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Telepon,PASS,โทรศัพท์,PASS,,MISSING
pages.marketingIntel.influencer.ihub.memberPosition,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,Position,PASS,Position,PASS,,MISSING,,MISSING,Position,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Position,PASS,Position,PASS,,MISSING
pages.marketingIntel.influencer.ihub.memberPositionPh,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,e.g. Team Lead,PASS,e.g. Team Lead,PASS,,MISSING,,MISSING,e.g. Team Lead,PASS,,MISSING,,MISSING,,MISSING,,MISSING,e.g. Team Lead,PASS,e.g. Team Lead,PASS,,MISSING
pages.marketingIntel.influencer.ihub.memberReturnAddr,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,Return Address,PASS,Return Address,PASS,,MISSING,,MISSING,Return Address,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Return Address,PASS,Return Address,PASS,,MISSING
pages.marketingIntel.influencer.ihub.memberSaveAndApply,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,Submit & Auto-Apply,PASS,Submit & Auto-Apply,PASS,,MISSING,,MISSING,Submit & Auto-Apply,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Submit & Auto-Apply,PASS,Submit & Auto-Apply,PASS,,MISSING
pages.marketingIntel.influencer.ihub.memberSaved,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,Member info saved!,PASS,Member info saved!,PASS,,MISSING,,MISSING,Member info saved!,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Member info saved!,PASS,Member info saved!,PASS,,MISSING
pages.marketingIntel.influencer.ihub.memberSavedDesc,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,All info securely saved.,PASS,All info securely saved.,PASS,,MISSING,,MISSING,All info securely saved.,PASS,,MISSING,,MISSING,,MISSING,,MISSING,All info securely saved.,PASS,All info securely saved.,PASS,,MISSING
pages.marketingIntel.influencer.ihub.memberSaving,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,Saving...,PASS,Saving...,PASS,,MISSING,,MISSING,Saving...,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Saving...,PASS,Saving...,PASS,,MISSING
pages.marketingIntel.influencer.ihub.memberStoreUrl,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,Store URL,PASS,Store URL,PASS,,MISSING,,MISSING,Store URL,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Store URL,PASS,Store URL,PASS,,MISSING
pages.marketingIntel.influencer.ihub.memberTitle,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,会员注册,PASS,會員註冊,PASS,,MISSING,,MISSING,Mitgliederregistrierung,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Pendaftaran Anggota,PASS,ลงทะเบียนสมาชิก,PASS,,MISSING
pages.marketingIntel.influencer.ihub.memberViewKeys,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,View API Keys,PASS,View API Keys,PASS,,MISSING,,MISSING,View API Keys,PASS,,MISSING,,MISSING,,MISSING,,MISSING,View API Keys,PASS,View API Keys,PASS,,MISSING
pages.marketingIntel.influencer.ihub.memberVolEnterprise,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,Enterprise (1M+),PASS,Enterprise (1M+),PASS,,MISSING,,MISSING,Enterprise (1M+),PASS,,MISSING,,MISSING,,MISSING,,MISSING,Enterprise (1M+),PASS,Enterprise (1M+),PASS,,MISSING
pages.marketingIntel.influencer.ihub.memberVolHigh,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,High (100K~1M),PASS,High (100K~1M),PASS,,MISSING,,MISSING,High (100K~1M),PASS,,MISSING,,MISSING,,MISSING,,MISSING,High (100K~1M),PASS,High (100K~1M),PASS,,MISSING
pages.marketingIntel.influencer.ihub.memberVolLow,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,Low (<10K),PASS,Low (<10K),PASS,,MISSING,,MISSING,Low (<10K),PASS,,MISSING,,MISSING,,MISSING,,MISSING,Low (<10K),PASS,Low (<10K),PASS,,MISSING
pages.marketingIntel.influencer.ihub.memberVolMid,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,Medium (10K~100K),PASS,Medium (10K~100K),PASS,,MISSING,,MISSING,Medium (10K~100K),PASS,,MISSING,,MISSING,,MISSING,,MISSING,Medium (10K~100K),PASS,Medium (10K~100K),PASS,,MISSING
pages.marketingIntel.influencer.ihub.memberWebsite,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,Website,PASS,Website,PASS,,MISSING,,MISSING,Website,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Website,PASS,Website,PASS,,MISSING
pages.marketingIntel.influencer.ihub.nextStep,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,下一步,PASS,下一步,PASS,,MISSING,,MISSING,Weiter,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Selanjutnya,PASS,ถัดไป,PASS,,MISSING
pages.marketingIntel.influencer.ihub.noChannels,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,No channels registered.,PASS,No channels registered.,PASS,,MISSING,,MISSING,No channels registered.,PASS,,MISSING,,MISSING,,MISSING,,MISSING,No channels registered.,PASS,No channels registered.,PASS,,MISSING
pages.marketingIntel.influencer.ihub.noSearchResult,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,No results found,PASS,No results found,PASS,,MISSING,,MISSING,No results found,PASS,,MISSING,,MISSING,,MISSING,,MISSING,No results found,PASS,No results found,PASS,,MISSING
pages.marketingIntel.influencer.ihub.noneFilled,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,None,PASS,None,PASS,,MISSING,,MISSING,None,PASS,,MISSING,,MISSING,,MISSING,,MISSING,None,PASS,None,PASS,,MISSING
pages.marketingIntel.influencer.ihub.oauthChannels,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,channels need OAuth,PASS,channels need OAuth,PASS,,MISSING,,MISSING,channels need OAuth,PASS,,MISSING,,MISSING,,MISSING,,MISSING,channels need OAuth,PASS,channels need OAuth,PASS,,MISSING
pages.marketingIntel.influencer.ihub.oauthConfig,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,OAuth Config,PASS,OAuth Config,PASS,,MISSING,,MISSING,OAuth Config,PASS,,MISSING,,MISSING,,MISSING,,MISSING,OAuth Config,PASS,OAuth Config,PASS,,MISSING
pages.marketingIntel.influencer.ihub.oauthPending,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,OAuth Pending,PASS,OAuth Pending,PASS,,MISSING,,MISSING,OAuth Pending,PASS,,MISSING,,MISSING,,MISSING,,MISSING,OAuth Pending,PASS,OAuth Pending,PASS,,MISSING
pages.marketingIntel.influencer.ihub.oauthRequired,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,OAuth Required,PASS,OAuth Required,PASS,,MISSING,,MISSING,OAuth Required,PASS,,MISSING,,MISSING,,MISSING,,MISSING,OAuth Required,PASS,OAuth Required,PASS,,MISSING
pages.marketingIntel.influencer.ihub.overwritePh,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,Overwrite with new value...,PASS,Overwrite with new value...,PASS,,MISSING,,MISSING,Overwrite with new value...,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Overwrite with new value...,PASS,Overwrite with new value...,PASS,,MISSING
pages.marketingIntel.influencer.ihub.ownMallDesc,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,Manage own store API keys.,PASS,Manage own store API keys.,PASS,,MISSING,,MISSING,Manage own store API keys.,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Manage own store API keys.,PASS,Manage own store API keys.,PASS,,MISSING
pages.marketingIntel.influencer.ihub.ownMallLabel,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,自营店,PASS,自營店,PASS,,MISSING,,MISSING,Eigener Shop,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Own Store,PASS,Own Store,PASS,,MISSING
pages.marketingIntel.influencer.ihub.pipeDone,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,Pipeline Done,PASS,Pipeline Done,PASS,,MISSING,,MISSING,Pipeline Done,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Pipeline Done,PASS,Pipeline Done,PASS,,MISSING
pages.marketingIntel.influencer.ihub.pipeRunning,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,Pipeline Running,PASS,Pipeline Running,PASS,,MISSING,,MISSING,Pipeline Running,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Pipeline Running,PASS,Pipeline Running,PASS,,MISSING
pages.marketingIntel.influencer.ihub.prevStep,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,上一步,PASS,上一步,PASS,,MISSING,,MISSING,Zurück,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Kembali,PASS,ย้อนกลับ,PASS,,MISSING
pages.marketingIntel.influencer.ihub.regCh,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,Registered,PASS,Registered,PASS,,MISSING,,MISSING,Registered,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Registered,PASS,Registered,PASS,,MISSING
pages.marketingIntel.influencer.ihub.registerBtn,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,Register,PASS,Register,PASS,,MISSING,,MISSING,Register,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Register,PASS,Register,PASS,,MISSING
pages.marketingIntel.influencer.ihub.reviewTitle,PAT_D,skip,0,5,0,10,,MISSING,,MISSING,,MISSING,Final Review,PASS,Final Review,PASS,,MISSING,,MISSING,Final Review,PASS,,MISSING,,MISSING,,MISSING,,MISSING,Final Review,PASS,Final Review,PASS,,MISSING
